,report,date_sampled,sample_id,lab,Matrix,Units,NEtFOSAA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFNA,PFOA,PFOS,PFTA,PFTrDA,PFUnA
29,2-0020439 - Hudson - Document_ID_481458 MW.pdf,10/03/18 11:00,Z2-2-10032018,Alpha,Water,ng/l,0.258,3.15,0.296,0.298,23.5,0.121,0.221,0.219,501.0,0.2265,0.19875,0.2335,0.197
30,2-0020439 - Hudson - Document_ID_481458 MW.pdf,10/03/18 11:15,Z2-3-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,13.4,0.121,0.221,0.219,360.0,0.2265,0.19875,0.2335,0.197
31,2-0020439 - Hudson - Document_ID_481458 MW.pdf,10/03/18 12:10,Z2-4-10032018,Alpha,Water,ng/l,0.258,2.09,0.296,0.298,2.86,0.121,0.221,0.219,38.9,0.2265,0.19875,0.2335,0.197
32,2-0020439 - Hudson - Document_ID_481458 MW.pdf,10/03/18 13:10,Z2-5-10032018,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.09,0.121,2.04,0.219,28.1,4.02,0.19875,0.2335,0.197
33,2-0021116 - Stow - Document_ID_563863A DW.pdf,02/26/20,POST,SGS,DW - Drinking Water,ng/l,0.915,6.0,0.355,0.355,2.9,5.3,1.5,0.355,10.9,7.3,0.355,0.355,0.355
34,2-0021116 - Stow - Document_ID_563863A DW.pdf,02/26/20,SUPPLY,SGS,DW - Drinking Water,ng/l,0.915,6.1,0.355,0.355,2.8,5.0,1.5,0.355,10.6,7.4,0.355,0.355,0.355
35,2-0021116 - Stow - Document_ID_563863A DW2.pdf,03/05/20,POST,SGS,DW - Drinking Water,ng/l,0.915,5.7,0.355,0.355,2.1,4.6,1.4,0.355,10.6,7.6,0.355,0.355,0.355
36,2-0021116 - Stow - Document_ID_563863A DW2.pdf,03/05/20,SUPPLY,SGS,DW - Drinking Water,ng/l,0.915,5.5,0.355,0.355,2.3,4.7,1.3,0.355,10.5,6.9,0.355,0.355,0.355
37,2-0021116 - Stow - Document_ID_563863A MW.pdf,03/05/20,B7,SGS,AQ - Ground Water,ng/l,0.915,2.1,0.355,0.355,0.355,0.355,1.2,0.355,5.9,12.6,0.355,0.355,0.355
38,2-0021116 - Stow - Document_ID_563863A MW.pdf,03/05/20,other,SGS,AQ - Ground Water,ng/l,0.915,1.4,0.355,0.355,4.107692307692307,2.1,0.355,1.8,161.96153846153845,7.5115384615384615,0.355,0.355,0.355
39,2-0021349 - Littleton - Document_ID_595958 SW.pdf,08/28/20 00:00,DUP01_082820,Alpha,Water,ng/l,0.258,3.23,0.296,0.298,2.81,5.03,2.64,0.219,8.89,8.12,0.19875,0.2335,0.197
40,2-0021349 - Littleton - Document_ID_595958 SW.pdf,08/28/20 09:10,QUARRY-1_082820,Alpha,Water,ng/l,0.258,2.93,0.296,0.298,4.17,20.8,0.221,2.83,6.11,7.86,0.19875,0.2335,0.197
41,2-0021349 - Littleton - Document_ID_595958 SW.pdf,08/28/20 09:40,QUARRY-2_082820,Alpha,Water,ng/l,0.258,2.89,0.296,0.298,3.48,5.37,3.12,0.219,10.5,9.74,0.19875,0.2335,0.197
42,2-0021349 - Littleton - Document_ID_595958 SW.pdf,08/28/20 10:10,POND-3_082820,Alpha,Water,ng/l,0.258,3.31,0.296,0.298,2.94,5.04,2.32,0.219,8.8,8.41,0.19875,0.2335,0.197
43,2-0021349 - Littleton - Document_ID_595958 SW.pdf,08/28/20 10:30,POND-2_082820,Alpha,Water,ng/l,0.258,3.26,0.296,0.298,3.18,5.62,2.69,0.219,9.49,8.54,0.19875,0.2335,0.197
44,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 00:00,GW-DUP_20201021,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,15.5,30.5,0.221,0.219,46.6,0.2265,0.19875,0.2335,0.197
45,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 00:00,SW-DUP_20201021,Alpha,Water,ng/l,0.258,2.47,0.296,0.298,2.74,5.52,0.221,0.219,7.53,6.72,0.19875,0.2335,0.197
46,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 08:45,QUARRY-1_20201021,Alpha,Water,ng/l,0.258,3.7,0.296,0.298,4.91,26.7,0.221,2.88,7.37,8.99,0.19875,0.2335,0.197
47,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 09:25,QUARRY-2_20201021,Alpha,Water,ng/l,0.258,3.78,0.296,0.298,0.1195,2.92,0.221,0.219,4.93,4.1,0.19875,0.2335,0.197
48,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 09:35,QUARRY-2(5')_20201021,Alpha,Water,ng/l,0.258,3.31,0.296,0.298,1.9,3.9,0.221,0.219,5.62,4.72,0.19875,0.2335,0.197
49,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 10:10,QUARRY-4_20201021,Alpha,Water,ng/l,0.258,4.14,0.296,0.298,0.1195,0.121,0.221,0.219,3.76,3.2,0.19875,0.2335,0.197
50,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 10:35,QUARRY-3_20201021,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,2.84,0.221,0.219,3.79,3.22,0.19875,0.2335,0.197
51,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 11:05,POND-3_20201021,Alpha,Water,ng/l,0.258,2.72,0.296,0.298,2.9,5.55,2.19,0.219,8.46,7.68,0.19875,0.2335,0.197
52,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 11:15,POND-3(5')_20201021,Alpha,Water,ng/l,0.258,2.93,0.296,0.298,2.91,5.96,1.92,0.219,8.62,7.56,0.19875,0.2335,0.197
53,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 11:35,POND-2_20201021,Alpha,Water,ng/l,0.258,3.06,0.296,0.298,2.9,5.74,2.32,0.219,8.22,7.15,0.19875,0.2335,0.197
54,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 12:00,POND-2(5')_20201021,Alpha,Water,ng/l,0.258,2.96,0.296,0.298,2.99,5.92,2.13,0.219,8.3,6.86,0.19875,0.2335,0.197
55,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 13:25,BLACK POND_20201021,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.11,0.121,0.221,0.219,3.47,0.2265,0.19875,0.2335,0.197
56,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 13:45,other,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,1.81,0.121,0.221,0.219,2.7,0.2265,0.19875,0.2335,0.197
57,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 14:30,MW-1_20201021,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,15.2,31.4,0.221,0.219,43.3,0.2265,0.19875,0.2335,0.197
58,2-0021349 - Littleton - Document_ID_595958 SW2.pdf,10/21/20 15:35,STREAM-1_20201021,Alpha,Water,ng/l,0.258,2.84,0.296,0.298,2.88,5.56,1.93,0.219,8.76,7.67,0.19875,0.2335,0.197
59,2-0021383 - Holden - Document_ID_572811 MW A.pdf,7/22/2020,20G0899-01,Con-Test,Ground Water,ng/l,1.0052348335,2.8,1.0052348335,1.0052348335,3.4,10.0,2.8,1.0052348335,7.7,42.0,1.005255403,1.0052348335,1.0052348335
60,2-0021383 - Holden - Document_ID_572811 MW A.pdf,7/22/2020,20G0899-02,Con-Test,Ground Water,ng/l,1.0052348335,2.7,1.0052348335,1.0052348335,2.1,5.5,1.0756849315,1.0052348335,5.8,48.0,1.005255403,1.0052348335,1.0052348335
61,2-0021446 -Lancaster - Document_ID_579716 MW.pdf,08/25/20 10:30,MW-2B,Alpha,Water,ng/l,0.258,2.37,0.296,0.298,2.51,3.44,1.89,0.219,8.12,18.4,0.19875,0.2335,0.197
62,2-0021446 -Lancaster - Document_ID_579716 MW.pdf,08/25/20 13:00,MW-1B,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,3.62,46.7,0.219,6.7,2.43,0.19875,0.2335,0.197
63,2-0021455 - Millis -Document_ID_582943 SL MW.pdf,12/02/20 10:30,RXMW-31 (S),Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,2.18,0.219,1.98,4.04,0.19875,0.2335,0.197
64,2-0021455 - Millis -Document_ID_582943 SL MW.pdf,12/02/20 12:20,RXMW-32 (S),Alpha,Water,ng/l,0.258,3.49,0.296,0.298,0.1195,2.81,4.25,0.219,5.16,21.3,0.19875,0.2335,0.197
65,2-0021455 - Millis -Document_ID_582943 SL MW.pdf,12/02/20 14:00,RXMW-34 (S),Alpha,Water,ng/l,0.258,12.4,4.26,0.298,2.67,15.4,120.0,35.5,18.1,395.0,0.19875,0.2335,47.4
66,2-0021455 - Millis -Document_ID_582943 SL MW.pdf,12/02/20 15:00,SOIL PFAS 102 (0-0.5),Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,1.18,0.19875,2.56,5.64
67,2-0021455 - Millis -Document_ID_582943 SL MW.pdf,12/02/20 15:15,SOIL PFAS 103 (0-0.5),Alpha,Soil,ng/g,0.258,0.1305,0.55,0.298,0.1195,0.121,0.221,1.21,0.287,5.28,0.19875,0.2335,10.5
68,2-0021541 - Stow - Document_ID_608251 MW A.pdf,12/14/20 08:10,WELL 1,Alpha,Water,ng/l,0.258,2.08,0.296,0.298,2.22,3.86,2.11,0.219,4.78,0.2265,0.19875,0.2335,0.197
69,2-0021541 - Stow - Document_ID_608251 MW A.pdf,12/14/20 08:25,WELL2,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.38,4.28,2.01,0.219,4.5,0.2265,0.19875,0.2335,0.197
70,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  10:55,OW-17S,Alpha,Water,ng/l,0.258,0.1305,4.16,0.298,2.42,5.1,0.221,0.219,3.46,3.76,0.19875,0.2335,0.197
71,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  11 :05,OW-14D,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,10.3,15.8,0.221,3.46,14.8,9.03,0.19875,0.2335,0.197
72,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  11 :40,OW-14S,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,3.5,0.2265,0.19875,0.2335,0.197
73,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  11 :50,OW-18S,Alpha,Water,ng/l,0.258,2.26,8.69,0.298,5.51,8.59,0.221,4.01,12.4,6.29,0.19875,0.2335,0.197
74,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  12:20,OW-13D,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,1.84,3.66,0.221,0.219,3.3,0.2265,0.19875,0.2335,0.197
75,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  12:30,OW-13S,Alpha,Water,ng/l,0.258,7.92,0.296,0.298,3.33,5.72,0.221,0.219,10.4,3.3,0.19875,0.2335,0.197
76,2-0021541 - Stow - Document_ID_608251 MW B.pdf,02/08/21  13:40,OW-20S,Alpha,Water,ng/l,0.258,22.3,2.45,0.298,2.92,3.66,3.2,1.99,5.32,7.31,0.19875,0.2335,0.197
77,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  09:25,OW-3S,Alpha,Water,ng/l,0.258,42.8,3.76,0.298,5.3,13.5,0.221,2.25,0.287,3.39,0.19875,0.2335,0.197
78,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  10:05,OW-3D,Alpha,Water,ng/l,0.258,10.3,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.2265,0.19875,0.2335,0.197
79,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  10:30,OW-19S,Alpha,Water,ng/l,0.258,2.93,0.296,0.298,2.05,2.63,0.221,0.219,5.53,6.48,0.19875,0.2335,0.197
80,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  11 :30,OW-11S,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,3.53,0.221,0.219,2.83,2.0,0.19875,0.2335,0.197
81,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  11: 10,OW-16S,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,1.87,3.16,0.221,0.219,3.03,1.99,0.19875,0.2335,0.197
82,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  12:30,OW-1D,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,2.2,3.98,0.221,0.219,4.88,3.29,0.19875,0.2335,0.197
83,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  12:30,OW-2S,Alpha,Water,ng/l,0.258,7.12,2.2,0.298,4.72,7.06,0.221,2.19,7.08,7.77,0.19875,0.2335,0.197
84,2-0021541 - Stow - Document_ID_608251 MW C.pdf,02/09/21  13:45,OW-1S,Alpha,Water,ng/l,0.258,2.25,0.296,0.298,2.06,4.25,0.221,0.219,5.79,0.2265,0.19875,0.2335,0.197
85,2-0021682 - Worcester - Document_ID_629929 SL A.pdf,07/06/21 11:15,TOPSOIL,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.434,0.19875,0.2335,0.197
86,2-0021682 - Worcester - Document_ID_629929 SL B.pdf,07/12/21 14:20,IP-TOP-1,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.848,0.19875,0.2335,0.197
87,2-0021682 - Worcester - Document_ID_629929 SL B.pdf,07/12/21 14:40,IP-TOP-2,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.429,1.84,0.19875,0.2335,0.197
88,2-0021682 - Worcester - Document_ID_629929 SL B.pdf,07/12/21 14:59,TOP-STOCH,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.5,0.19875,0.2335,0.197
89,2-0021682 - Worcester - Document_ID_629929 SL C.pdf,07/23/21 11:10,PH-II-TOP-SOUTH,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.56,0.85,0.19875,0.2335,0.197
90,2-0021682 - Worcester - Document_ID_629929 SL D.pdf,08/11/21 12:40,TOP-WOOD-1,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.438,0.422,0.713,0.19875,0.2335,0.197
91,2-0021682 - Worcester - Document_ID_629929 SL D.pdf,08/11/21 12:50,TOP-WOOD-2,Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.417,0.121,0.221,0.219,1.16,0.558,0.19875,0.2335,0.197
92,2-0021682 - Worcester - Document_ID_629929 SL E.pdf,08/11/21 13:15,"LOT-6, 0-12""",Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.453,0.19875,0.2335,0.197
93,2-0021682 - Worcester - Document_ID_629929 SL E.pdf,08/11/21 13:30,"LOT-7, 0-12""",Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,0.66,0.19875,0.2335,0.197
94,2-0021682 - Worcester - Document_ID_629929 SL E.pdf,08/11/21 13:50,"LOT-9, 0-12""",Alpha,Soil,ng/g,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.365,0.495,1.32,0.19875,0.2335,0.197
95,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 09:45,WS-MW-110,Alpha,Water,ng/l,0.258,1.95,0.296,0.298,2.66,3.89,2.11,0.219,11.2,51.5,0.19875,0.2335,0.197
96,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 10:05,WS-MW-111,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,0.287,3.15,0.19875,0.2335,0.197
97,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 11:05,WS-MW-105,Alpha,Water,ng/l,0.258,1.87,0.296,0.298,0.1195,0.121,0.221,0.219,6.25,7.14,0.19875,0.2335,0.197
98,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 12:20,MW-3,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,6.2,3.38,0.19875,0.2335,0.197
99,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 12:25,WS-MW-104,Alpha,Water,ng/l,0.258,6.0,0.296,0.298,4.26,4.57,5.83,0.219,21.2,146.0,0.19875,0.2335,0.197
100,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 12:40,WS-MW-112,Alpha,Water,ng/l,0.258,5.01,0.296,0.298,12.0,10.3,2.33,0.219,18.5,12.1,0.19875,0.2335,0.197
101,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 13:50,WS-MW-109,Alpha,Water,ng/l,0.258,2.51,0.296,0.298,10.3,9.61,5.77,2.86,29.4,28.0,0.19875,0.2335,0.197
102,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 14:00,WS-MW-114D,Alpha,Water,ng/l,0.258,1.98,0.296,0.298,2.63,4.02,7.17,0.219,9.39,6.99,0.19875,0.2335,0.197
103,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 14:40,WS-MW-118,Alpha,Water,ng/l,0.258,4.99,2.7,0.298,2.84,2.75,0.221,0.219,9.15,9.14,0.19875,0.2335,0.197
104,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 14:45,WS-MW-114S,Alpha,Water,ng/l,0.258,2.43,0.296,0.298,3.49,6.23,5.17,0.219,12.4,34.8,0.19875,0.2335,0.197
105,3-0036649 - Chelmsford - Document_ID_625651 MW A.pdf,06/21/21 14:55,WS-MW-108,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.121,0.221,0.219,2.32,3.91,0.19875,0.2335,0.197
106,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 15:50,WS-MW-113D,Alpha,Water,ng/l,0.258,1.4,0.296,0.298,1.97,2.72,1.85,0.219,5.16,4.1,0.19875,0.2335,0.197
107,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 16:10,WS-MW-106,Alpha,Water,ng/l,0.258,1.88,0.417,0.298,2.36,3.29,5.02,1.62,5.87,26.8,0.19875,0.2335,0.197
108,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 16:11,WS-MW-115,Alpha,Water,ng/l,0.258,7.07,0.296,0.298,3.4,5.34,1.76,2.02,11.9,4.01,0.19875,0.2335,0.197
109,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 16:35,WS-MW-113S,Alpha,Water,ng/l,0.258,0.1305,0.296,0.298,0.1195,0.553,0.221,0.219,0.736,0.857,0.19875,0.2335,0.197
110,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 17:30,WS-MW-101,Alpha,Water,ng/l,0.258,1.7,0.296,0.298,11.6,14.5,1.94,0.977,35.1,7.02,0.19875,0.2335,0.197
111,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/21/21 18:00,WS-MW-107,Alpha,Water,ng/l,0.258,3.05,1.13,0.298,5.36,7.45,2.95,2.99,13.0,145.0,0.19875,0.2335,0.197
112,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/22/21 08:25,WS-MW-117,Alpha,Water,ng/l,0.258,2.8,0.296,0.298,2.83,2.87,2.12,1.31,16.9,6.17,0.19875,0.2335,0.197
113,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/22/21 08:35,MW-2,Alpha,Water,ng/l,0.258,2.86,0.398,0.298,6.42,7.25,11.1,3.62,15.7,34.6,0.19875,0.2335,0.197
114,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/22/21 09:00,WS-MW-103,Alpha,Water,ng/l,0.258,3.62,0.296,0.298,4.39,2.81,15.0,1.32,54.9,21.8,0.19875,0.2335,0.197
115,3-0036649 - Chelmsford - Document_ID_625651 MW B.pdf,06/22/21 09:45,IRRIGATION WELL,Alpha,Water,ng/l,0.258,2.12,0.296,0.298,5.85,7.26,2.51,0.219,10.1,3.08,0.19875,0.2335,0.197
