CATEGORY,NAICS_CODE,NAICS_DESC,COMPANY_NAME,PRIMARY_ADDRESS,PRIMARY_CITY,PRIMARY_STATE,PRIMARY_ZIP10,SALUTATION,FIRST_NAME,LAST_NAME,PROFESSIONAL_TITLE,CONTACT_NAME,PHONE,WEB_SITE,LATITUDE,LONGITUDE
H,31321010,BROADWOVEN FABRIC MILLS,DESIGNTEX INC,300 SUMMER ST # 14A,BOSTON,MA,02210-1113,,,,,,6174826660,DESIGNTEX.COM,42350021,71049224
H,31331020,TEXTILE & FABRIC FINISHING MILLS,DURALEE FABRICS LTD,1 DESIGN CENTER PL # 428,BOSTON,MA,02210-2349,MR,GARY,FISHER,,GARY FISHER,6174286991,DURALEE.COM,42344249,71032936
H,31321010,BROADWOVEN FABRIC MILLS,F SCHUMACHER & CO,1 DESIGN CENTER PL # 529,BOSTON,MA,02210-2349,MS,KATHERINE,KALAPINSKI,,KATHERINE KALAPINSKI,6174829165,,42344249,71032936
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,FAVERMANN DESIGN,16 ABERDEEN ST,BOSTON,MA,02215-3800,MARK,FAVERMANN,S,M,MARK FAVERMANN,6172471440,FAVERMANNDESIGN.COM,42346294,71103538
H,31411002,CARPET & RUG MILLS,HOKANSON CARPETS,1 DESIGN CENTER PL # 315,BOSTON,MA,02210-2325,DIANNE,OLMSTED,S,F,DIANNE OLMSTED,6173306730,,42344249,71032936
H,31321010,BROADWOVEN FABRIC MILLS,KRAVET FABRICS,1 DESIGN CENTER PL # 300,BOSTON,MA,02210-2325,MS,JENNIFER,DERY,,JENNIFER DERY,6173384615,,42344249,71032936
H,31321010,BROADWOVEN FABRIC MILLS,LEE JOFA,660 SUMMER ST,BOSTON,MA,02210-2310,MR,WILLIAM,ELINOFF,,WILLIAM ELINOFF,6174280370,LEEJOFA.COM,42345161,71038154
H,31331020,TEXTILE & FABRIC FINISHING MILLS,OSBORNE & LITTLE INC,1 DESIGN CENTER PL # 551,BOSTON,MA,02210-2398,MS,LYNETTE,POIRIER,,LYNETTE POIRIER,6177372927,OSBORNEANDLITTLE.COM,42344249,71032936
H,32221901,OTHER PAPERBOARD CONTAINER MANUFACTURING,PACKAGING TEAM,71 LINDEN ST,BOSTON,MA,02122-2906,JIM,GOLDMAN,S,M,JIM GOLDMAN,7815860041,THEPACKAGINGTEAM.COM,42305717,71060897
H,31331020,TEXTILE & FABRIC FINISHING MILLS,ROBERT ALLEN/BEACON HILL,1 DESIGN CENTER PL # 200,BOSTON,MA,02210-2325,MR,JUDE,PAYNE,,JUDE PAYNE,6174826600,ROBERTALLENDESIGN.COM,42344249,71032936
H,31522017,MEN'S & BOY'S CUT & SEW APPAREL MANUFACTURING,SORDILLO S CSTM MADE TAILORING,222 CLARENDON ST,BOSTON,MA,02116-3709,CARMINE,SORDILLO,S,M,CARMINE SORDILLO,6173690190,,42351264,71075706
H,31411002,CARPET & RUG MILLS,STARK CARPET CORP,1 DESIGN CENTER PL # 100,BOSTON,MA,02210-2504,MR,ROBERT,BARSHAW,,ROBERT BARSHAW,6173575525,STARKCARPET.COM,42344249,71032936
H,31528014,OTHER CUT & SEW APPAREL MANUFACTURING,STERLINGWEAR OF BOSTON INC,175 WILLIAM F MCCLELLAN HWY #7,BOSTON,MA,02128-1196,MR,FRANK,FREDELLA,,FRANK FREDELLA,6175670702,,42386062,71016242
H,31519003,OTHER APPAREL KNITTING MILLS,THIRD PIECE,631 TREMONT ST #1,BOSTON,MA,02118-1266,JALEESA,JONES,S,F,JALEESA JONES,7819835178,THIRDPIECE.COM,42342498,71074951
H,31499924,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,TOP TEXTILE TRADING INC,9 INDEPENDENCE AVE # 103,BRAINTREE,MA,02184-1784,PHILIP,TAM,S,M,PHILIP TAM,,,42192573,70975181
H,32521102,PLASTICS MATERIAL & RESIN MANUFACTURING,NOVOLAC EPOXY TECHNOLOGIES INC,262 SATUCKET RD,BREWSTER,MA,02631-2226,MR,JORDAN E,FOWLER,,JORDAN E FOWLER,,,41730823,70132926
H,32521103,PLASTICS MATERIAL & RESIN MANUFACTURING,FIBERTEC INC,35 SCOTLAND BLVD,BRIDGEWATER,MA,02324-2302,MR,DARREN,LAVOIE,,DARREN LAVOIE,5086975100,FIBERTECINC.COM,41975463,71006050
H,31324005,KNIT FABRIC MILLS,BOSTON CANNONS,20 GUEST ST,BRIGHTON,MA,02135-2040,,,S,,,6177469933,CANNONS.MAJORLEAGUELACROSSE.COM,42357658,71147010
H,32222017,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,DON SCHOENFISCH DISCOUNT,108 FOREST AVE,BROCKTON,MA,02301-5910,,,S,,,5088959400,,42072132,71023590
H,31499924,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,PRECISION TEXTILE COLOR INC,244 LIBERTY ST # 4,BROCKTON,MA,02301-5561,MARY,VIGEANT,S,F,MARY VIGEANT,5088976620,SOPHICOLOR.COM,42051853,71059562
H,31332003,FABRIC COATING MILLS,COSMO,PO BOX 737,BYFIELD,MA,01922-0737,MR,JOSHUA,VANDERNOOT,,JOSHUA VANDERNOOT,9784627311,COSMOFABRIC.NET,42757633,70945037
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,CHELSEA SEWING,89 BLANCHARD RD,CAMBRIDGE,MA,02138-1004,,,S,,,6174976668,,42394378,71157371
H,32222017,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,COURIERWARE,24 PLEASANT ST,CAMBRIDGE,MA,02139-3762,ERIC,TRURAN,S,M,ERIC TRURAN,6178762300,COURIERBAGS.COM,42364894,71106948
H,32521105,PLASTICS MATERIAL & RESIN MANUFACTURING,LIQUIGLIDE,1 KENDALL SQ # B2006A,CAMBRIDGE,MA,02139-1513,MR,DAVID,SMITH,,DAVID SMITH,6177144585,LIQUIGLIDE.COM,42366336,71091896
H,32521102,PLASTICS MATERIAL & RESIN MANUFACTURING,N TWELVE TECHNOLOGIES,85 BOLTON ST,CAMBRIDGE,MA,02140-3366,MR,CARLOS,NUNEZ,,CARLOS NUNEZ,6177143332,N12TECHNOLOGIES.COM,42389968,71130447
H,31331038,TEXTILE & FABRIC FINISHING MILLS,DAWSON-FORTE CASHMERE,40 SHAWMUT RD # 200,CANTON,MA,02021-1409,ANDREW,BARTMESS,S,M,ANDREW BARTMESS,7814670170,DAWSONFORTE.COM,42189720,71151138
H,31323002,NONWOVEN FABRIC MILLS,DRAPER KNITTING CO INC,28 DRAPER LN # 1,CANTON,MA,02021-1598,MS,KRISTIN L,DRAPER,,KRISTIN L DRAPER,7815750050,DRAPERKNITTING.COM,42173271,71142097
H,32522004,ARTIFICIAL & SYNTHETIC FIBERS & FILAMENTS MFG,ORGANOGENESIS INC,150 DAN RD # 3,CANTON,MA,02021-2820,MR,GEOFF,MACKAY,,GEOFF MACKAY,7815750775,ORGANOGENESIS.COM,42155731,71118370
H,31324003,KNIT FABRIC MILLS,VER-TEX CONSTRUCTION SPEC,45 DAN RD # 350,CANTON,MA,02021-2874,MR,MATTHEW,GOODWIN,,MATTHEW GOODWIN,7818210858,,42160140,71113983
H,31491017,TEXTILE BAG & CANVAS MILLS,SQUETEAGUE SAILMAKERS,PO BOX 517,CATAUMET,MA,02534-0517,MARK,DANIELS,S,M,MARK DANIELS,5085633080,SQUETEAGUESAILMAKERS.COM,41666080,70613914
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,FLAGMAN STORE,1480 FALMOUTH RD # 2,CENTERVILLE,MA,02632-2953,TIMOTHY,LOS,S,M,TIMOTHY LOS,5087757270,FLAGMANSPORTSSTORE.COM,41657409,70342124
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,CHARLESTOWN SELF STORAGE,50 TERMINAL ST # 10,CHARLESTOWN,MA,02129-1973,DON,PIZZUTTI,S,M,DON PIZZUTTI,6172415550,CHARLESTOWNSELFSTORAGE.COM,42383338,71059852
H,31324004,KNIT FABRIC MILLS,A GREAT YARN,894 MAIN ST,CHATHAM,MA,02633-2740,,,S,,,5083485605,AGREATYARN.COM,41686180,69968734
H,32221904,OTHER PAPERBOARD CONTAINER MANUFACTURING,J W DUBIS & SONS,79 STONY HILL RD,CHATHAM,MA,02633-1958,MR,ROBERT G,DUBIS,,ROBERT G DUBIS,5089450283,JWDUBIS.COM,41694087,69964851
H,31321023,BROADWOVEN FABRIC MILLS,P & L FINANCIAL CO,6 BOSTON RD # 203A,CHELMSFORD,MA,01824-3075,PAUL,GOLDBERG,S,M,PAUL GOLDBERG,9787103583,PLFINCO.COM,42595767,71351249
H,31311010,FIBER YARN & THREAD MILLS,SHIVJI THREADING INC,37 GLEN AVE # 6,CHELMSFORD,MA,01824-2871,MS,GIRISHKUMAR,PATEL,,GIRISHKUMAR PATEL,,,42608921,71329261
H,32222015,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,CORMAN BAG CO,32 ARLINGTON ST,CHELSEA,MA,02150-1823,MS,JULIE,CORMAN,,JULIE CORMAN,6178847600,CORMANBAG.COM,42391632,71042037
H,32229909,ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,CARAUSTAR INDUSTRIES,70 BETTER WAY,CHICOPEE,MA,01022-2118,WAYNE,KELCH,S,M,WAYNE KELCH,4135939700,CARAUSTAR.COM,42203746,72554008
H,32221102,CORRUGATED & SOLID FIBER BOX MANUFACTURING,COMMONWEALTH PACKAGING CORP,PO BOX 329,CHICOPEE,MA,01021-0329,MR,JOSEPH,GOSSELIN,,JOSEPH GOSSELIN,4135931482,CARTONS.COM,42184936,72555381
H,32521102,PLASTICS MATERIAL & RESIN MANUFACTURING,CORDERO EPOXY OVERLAYS,91 PROVIDENCE ST,CHICOPEE,MA,01020-1154,MR,FELIX,CORDERO,,FELIX CORDERO,,,42172828,72602432
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,HEMS EXPRESS-N-MORE SEWING,291 FRONT ST # R,CHICOPEE,MA,01013-2606,AMY,QUINTEROS,S,F,AMY QUINTEROS,,,42148738,72605407
H,32521105,PLASTICS MATERIAL & RESIN MANUFACTURING,POLY ONE CORP,370 GROVE ST,CHICOPEE,MA,01020-1844,,,,,,4409301018,POLYONE.COM,42149486,72580825
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,SIGN TECHNIQUES,PO BOX 237,CHICOPEE,MA,01021-0237,MR,ZEKE,LEMANSKI,,ZEKE LEMANSKI,4135948886,SIGNTECHNIQUES.NET,42170726,72623413
H,32521105,PLASTICS MATERIAL & RESIN MANUFACTURING,CHROMA COLOR CORP,179 WOODLAWN ST,CLINTON,MA,01510-1831,MR,ANDREW E,SMITH,,ANDREW E SMITH,9783657335,CHROMACOLORS.COM,42418640,71696617
H,31331014,TEXTILE & FABRIC FINISHING MILLS,NYLCO PRODUCTS INC,530 MAIN ST,CLINTON,MA,01510-2412,MR,ERIC,BOYCE,,ERIC BOYCE,9783656345,WORTHENIND.COM,42417392,71689819
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,US FLAG MFG INC,1 PLEASANT ST # 5,COHASSET,MA,02025-1714,MR,WALLACE,ST JOHN,,WALLACE ST JOHN,7813836607,USFLAGMFG.COM,42240631,70804244
H,32222001,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,DANVERS INDUSTRIAL PKGNG CORP,20 CHERRY HILL DR,DANVERS,MA,01923-2575,,,,,,9787770020,DANPACK.COM,42576961,70917587
H,31491017,TEXTILE BAG & CANVAS MILLS,DOWNS SAILS,57 N PUTNAM ST,DANVERS,MA,01923-2081,ROY,DOWNS,S,M,ROY DOWNS,9787508140,,42568023,70940162
H,32221901,OTHER PAPERBOARD CONTAINER MANUFACTURING,FRIEND BOX CO,90 HIGH ST,DANVERS,MA,01923-3196,MR,TRACE,WALKER,,TRACE WALKER,9787740240,FRIENDBOX.COM,42560703,70930496
H,32222013,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,J & S PACKAGING,14 BASSWOOD AVE,DARTMOUTH,MA,02747-3708,,,S,,,5089946748,,41623527,70962493
H,31522013,MEN'S & BOY'S CUT & SEW APPAREL MANUFACTURING,CARHARTT INC,552 LEGACY PL,DEDHAM,MA,02026-6833,MARCO,CABRILLANA,S,M,MARCO CABRILLANA,3392040260,CARHARTT.COM,42230800,71177696
H,31499908,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,BOATHOUSE FLAG & FLAGPOLE INC,40 EASY ST,DENNIS PORT,MA,02639-2032,CHRISTA ANN,RICHARDSON,S,F,CHRISTA ANN RICHARDSON,,,41659423,70139915
H,32221901,OTHER PAPERBOARD CONTAINER MANUFACTURING,WESTROCK,51 INDEPENDENCE DR,DEVENS,MA,01434-5215,MR,ANDREW,WOOD,,ANDREW WOOD,9787725050,WESTROCK.COM,42547096,71599494
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,T & M SEWING CO,426 ADAMS ST,DORCHESTER,MA,02122-1103,,,S,,,6179294448,,42294769,71056167
H,32222002,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,UNIVERSAL TAG INC,PO BOX 1518,DUDLEY,MA,01571-1518,MR,A ROBERT,MANDEVILLE,,A ROBERT MANDEVILLE,5089492411,UNIVERSALTAG.COM,42035549,71923599
H,31331033,TEXTILE & FABRIC FINISHING MILLS,MAJTEX INC,191 BOLAS RD,DUXBURY,MA,02332-3536,PETER,SULLIVAN,S,M,PETER SULLIVAN,7815855520,,42043506,70732810
H,31491017,TEXTILE BAG & CANVAS MILLS,OCEAN DESIGNS,11 TRADESMAN CIR,EAST FALMOUTH,MA,02536-4449,CHERYL P,ARCHER,S,F,CHERYL P ARCHER,7742551481,,41613632,70600036
H,31321010,BROADWOVEN FABRIC MILLS,F W SCHUMACHER CO INC,36 SPRING HILL RD,EAST SANDWICH,MA,02537-1068,DONALD,ALLEN,S,M,DONALD ALLEN,5088880659,TREESHRUBSEEDS.COM,41749885,70466926
H,31331017,TEXTILE & FABRIC FINISHING MILLS,FRANK'S CUSTOM DRAPERIES,PO BOX 634,EAST TAUNTON,MA,02718-0634,MR,FRANK,CAMPOS,,FRANK CAMPOS,5088281712,FRANKSCUSTOMDRAPERIES.COM,41885623,71029151
H,31323001,NONWOVEN FABRIC MILLS,NATIONAL NONWOVENS,PO BOX 150,EASTHAMPTON,MA,01027-0150,MR,ANTHONY J,CENTOFANTI,,ANTHONY J CENTOFANTI,4135271073,NATIONALNONWOVENS.COM,42271141,72666061
H,31331020,TEXTILE & FABRIC FINISHING MILLS,SPECIALTY FABRICS,29 BELCHER ST,ESSEX,MA,01929-1053,,,S,,,9787686986,,42635841,70794288
H,32222017,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,LOW PRICE DISTRIBUTION,168 BEACHAM ST,EVERETT,MA,02149-5527,MR,TOM,CHUNG,,TOM CHUNG,6173819188,LOWPRICEDISTRIBUTION.COM,42394680,71056343
H,32222002,PAPER BAG & COATED & TREATED PAPER MANUFACTURING,QSX LABELS,PO BOX 490100,EVERETT,MA,02149-0002,MS,JESSICA,KING,,JESSICA KING,6173897570,QSXLABELS.COM,42407253,71056129
H,32522006,ARTIFICIAL & SYNTHETIC FIBERS & FILAMENTS MFG,CRS,9 EDDY ST,FAIRHAVEN,MA,02719-4901,SCOTT,DUPUIS,S,M,SCOTT DUPUIS,5089931449,,41644470,70875778
H,31491013,TEXTILE BAG & CANVAS MILLS,MOBY DICK SPECIALTIES,10 PEQUOD RD,FAIRHAVEN,MA,02719-4736,STELLA,PIVA,S,F,STELLA PIVA,5089945024,,41649658,70888999
H,31311010,FIBER YARN & THREAD MILLS,NEW BEDFORD THREAD CO INC,10 HOWLAND RD,FAIRHAVEN,MA,02719-3453,MR,BRUCE,PLANTE,,BRUCE PLANTE,5089968584,NEWBEDFORDTHREAD.COM,41656612,70914337
H,31331035,TEXTILE & FABRIC FINISHING MILLS,ANMHE LLC,951 BROADWAY,FALL RIVER,MA,02724-2769,,,,,,7743575914,,41688518,71171432
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,BC & J MFG INC,502 BEDFORD ST # 11,FALL RIVER,MA,02720-4844,,,,,,5086788520,BCJMFG.COM,41701530,71145828
H,31331032,TEXTILE & FABRIC FINISHING MILLS,BRAND OPPENHEIMER,635 JEFFERSON ST,FALL RIVER,MA,02721-4926,,,,,,7742944039,,41677505,71146629
H,31491017,TEXTILE BAG & CANVAS MILLS,CONTENDER US,54 FRONT ST,FALL RIVER,MA,02721-4399,DUNCAN M,SKINNER,S,M,DUNCAN M SKINNER,5086747700,CONTENDERUS.COM,41697494,71146133
H,32221905,OTHER PAPERBOARD CONTAINER MANUFACTURING,JACKSON CO INC,767 AIRPORT RD,FALL RIVER,MA,02720-4794,MR,JASON,VIGORITA,,JASON VIGORITA,5086795256,,41746391,71112434
H,31528012,OTHER CUT & SEW APPAREL MANUFACTURING,KELLSPORT PRODUCTS INC,22 BOOMER ST,FALL RIVER,MA,02720-2714,ROBERT B,SMITH,S,M,ROBERT B SMITH,5086761455,FLUIDFILM.CO,41716770,71153259
H,31499930,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,KLEAR VU CORP,600 AIRPORT RD,FALL RIVER,MA,02720-4735,MR,ROBERT W,COOPER,,ROBERT W COOPER,5086745723,,41748847,71114280
H,31412001,CURTAIN & LINEN MILLS,KLEAR-VU CORP,135 ALDEN ST,FALL RIVER,MA,02723-1801,PAUL,LEMELIN,S,M,PAUL LEMELIN,5086745723,,41688632,71135917
H,31331035,TEXTILE & FABRIC FINISHING MILLS,LCH DESIGNS & FIREFLY FABRICS,385 PLEASANT ST,FALL RIVER,MA,02721-3024,,,,,,5086746799,,41699108,71148994
H,31499930,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,MATOUK FACTORY STORE,925 AIRPORT RD,FALL RIVER,MA,02720-4724,MR,JAMES,MEIZOSO,,JAMES MEIZOSO,5087421500,MATOUK.COM,41746284,71109977
H,31499924,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,MATOUK TEXTILE WORKS INC,925 AIRPORT RD,FALL RIVER,MA,02720-4724,GEORGE,MATOUK,S,M,GEORGE MATOUK,5089973444,MATOUK.COM,41746284,71109977
H,31322004,NARROW FABRIC MILLS & SCHIFFLI MACHINE EMBROIDERY,NORBUT MANUFACTURING CO INC,994 JEFFERSON ST # 13,FALL RIVER,MA,02721-4823,SCOTT,SILVERMAN,S,M,SCOTT SILVERMAN,5086785159,NORBUTMFG.COM,41672771,71146308
H,31321008,BROADWOVEN FABRIC MILLS,PILLOWS PLUS,104 ANAWAN ST,FALL RIVER,MA,02721-1521,MR,WILLIAM,BURKHARDT,,WILLIAM BURKHARDT,5086756077,,41702838,71161621
H,31324003,KNIT FABRIC MILLS,SUPERIOR MANUFACTURING CORP,1 ACE ST # 12,FALL RIVER,MA,02720-1355,KENNETH A,SOARES,S,M,KENNETH A SOARES,5086770100,SUPERIORTRAILER.COM,41726280,71145820
H,31528006,OTHER CUT & SEW APPAREL MANUFACTURING,VANSON LEATHERS INC,951 BROADWAY # 1,FALL RIVER,MA,02724-2769,MR,MICHAEL VAN,DER SLEESEN,,MICHAEL VAN DER SLEESEN,5086782000,VANSONLEATHERS.COM,41688518,71171432
H,32221901,OTHER PAPERBOARD CONTAINER MANUFACTURING,NOT JUST BROWN BAGS,511 SPRINGFIELD ST,FEEDING HILLS,MA,01030-2163,,,S,,,4137862456,,42081142,72645858
H,32221201,FOLDING PAPERBOARD BOX MANUFACTURING,BOUTWELL OWENS CO,251 AUTHORITY DR,FITCHBURG,MA,01420-6044,MR,WARD W,MC LAUGHLIN,,WARD W MC LAUGHLIN,9783433067,,42552375,71854652
H,32229909,ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING,CARAUSTAR INDUSTRIES,100 NEWARK AVE,FITCHBURG,MA,01420-4637,MS,DANA,PELLETIER,,DANA PELLETIER,9786652600,NEWARKGROUP.COM,42562614,71851646
H,31499921,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,IN STITCHES,155 WESTMINSTER ST,FITCHBURG,MA,01420-3728,KATHLEEN V,DUNBAR,S,F,KATHLEEN V DUNBAR,9783423373,,42573612,71837631
H,31499905,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,AUTOMATED EMBLEM SUPPLIES INC,61 GREEN ST,FOXBORO,MA,02035-2865,MR,EVAN,BRASTOW,,EVAN BRASTOW,5085436511,AUTOMATEDEMBLEM.COM,42030418,71262542
