,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFTrDA,0.1425,0.698,0.285,0.285,1
65,65,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,PFTrDA,0.29,0.52,0.11,0.11,0
210,210,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-004,PFTrDA,0.15,0.734,0.3,0.3,1
209,209,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-003,PFTrDA,0.156,0.764,0.312,0.312,1
211,211,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-005,PFTrDA,0.1635,0.8,0.327,0.327,1
66,66,Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,PFTrDA,0.19,1.85,0.38,0.38,1
137,137,Resource Management Inc RMF,6/30/2021,CPM Duplicate,PFTrDA,0.4,0.57,0.15,0.15,0
74,74,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT DUP,PFTrDA,0.21,1.03,0.42,0.42,1
73,73,Greater Lawrence Sanitary District,15-Jun-21,PELLET SAMPLE SPLIT,PFTrDA,0.21,1.03,0.42,0.42,1
116,116,MWRA,3/11/2021,Duplicate,PFTrDA,0.426,0.257,,0.257,0
136,136,Resource Management Inc RMF,6/30/2021,CPM,PFTrDA,0.43,0.58,0.15,0.15,0
29,29,"Bristol RI, WPCF",10/14/2020,,PFTrDA,0.22,0.44,,0.44,1
30,30,"Bristol RI, WPCF",2/10/2021,,PFTrDA,0.22,2.0,0.44,0.44,1
141,141,Rockport WTP,5/13/2021,Duplicate,PFTrDA,0.2255,0.451,,0.451,1
166,166,"Southbridge, MA",2/11/2021,Duplicate,PFTrDA,0.229,0.458,,0.458,1
91,91,Ipswich Compost,3/22/2021,Primary,PFTrDA,0.231,0.462,,0.462,1
93,93,Ipswich Compost,3/22/2021,Primary,PFTrDA,0.231,0.462,,0.462,1
165,165,"Southbridge, MA",2/11/2021,Primary,PFTrDA,0.2335,0.467,,0.467,1
51,51,Eresco (Erving),9/22/2020,Primary,PFTrDA,0.235,1.4,0.47,0.47,1
54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFTrDA,0.47,1.4,0.45,0.45,0
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFTrDA,0.48,0.54,0.14,0.14,0
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFTrDA,0.242,1.18,0.484,0.484,1
140,140,Rockport WTP,5/13/2021,Primary,PFTrDA,0.2425,0.485,,0.485,1
92,92,Ipswich Compost,3/22/2021,Duplicate,PFTrDA,0.2425,0.485,,0.485,1
94,94,Ipswich Compost,3/22/2021,Duplicate,PFTrDA,0.2425,0.485,,0.485,1
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFTrDA,0.49,0.44,0.11,0.11,0
100,100,"Merrimack, NH WWTF",3/19/2021,,PFTrDA,0.2455,0.491,,0.491,1
112,112,MWRA,9/14/2020,Duplicate,PFTrDA,0.25,0.5,,0.5,1
110,110,MWRA,9/14/2020, ,PFTrDA,0.51,,,,0
111,111,MWRA,9/14/2020,Primary,PFTrDA,0.255,0.51,,0.51,1
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFTrDA,0.2605,0.521,,0.521,1
121,121,Newburyport,11/3/2020,,PFTrDA,0.269,0.538,,0.538,1
151,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,PFTrDA,0.275,2.2,0.55,0.55,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFTrDA,0.28,1.37,0.56,0.56,1
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFTrDA,0.564,0.536,,0.536,0
109,109,MWRA,3/11/2020,,PFTrDA,0.573,,,,0
150,150,Somerset Water & Sewer Dept,10/27/2020,Primary,PFTrDA,0.29,2.3,0.58,0.58,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFTrDA,0.29,1.42,0.58,0.58,1
90,90,Ipswich Compost,12/30/2020,Duplicate,PFTrDA,0.3055,0.611,,0.611,1
89,89,Ipswich Compost,12/30/2020,Primary,PFTrDA,0.3175,0.635,,0.635,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFTrDA,0.342,1.67,0.684,0.684,1
120,120,City of Newburyport WTP,5/5/2021,A52309,PFTrDA,0.361,0.722,,0.722,1
84,84,Hoosac Water Quality District,6/2/2021,Final Compost,PFTrDA,0.741,0.418,,0.418,0
119,119,City of Newburyport WTP,5/5/2021,A52308,PFTrDA,0.385,0.77,,0.77,1
162,162,Southbridge WWTF,9/25/2020,,PFTrDA,0.3865,0.773,,0.773,1
198,198,Rousselot Peabody,5/12/2021,A52429,PFTrDA,0.392,0.784,,0.784,1
199,199,Rousselot Peabody,5/12/2021,A52432,PFTrDA,0.3935,0.787,,0.787,1
83,83,Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",PFTrDA,0.816,0.443,,0.443,0
115,115,MWRA,3/11/2021,Primary,PFTrDA,0.819,0.259,,0.259,0
169,169,"Southbridge, MA",5/11/2021,,PFTrDA,0.415,0.83,,0.83,1
167,167,"Southbridge, MA",5/11/2021,,PFTrDA,0.415,0.83,,0.83,1
168,168,"Southbridge, MA",5/11/2021,,PFTrDA,0.415,0.83,,0.83,1
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFTrDA,0.418,2.04,0.836,0.836,1
82,82,Hoosac Water Quality District,3/3/2021,Final Compost,PFTrDA,0.862,0.424,,0.424,0
108,108,MWRA,3/25/2019,,PFTrDA,0.445,0.89,,0.89,1
24,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,PFTrDA,0.445,3.5,0.89,0.89,1
180,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,PFTrDA,0.4545,6.5,0.909,0.909,1
23,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,PFTrDA,0.455,3.6,0.91,0.91,1
114,114,MWRA,12/22/2020,Duplicate,PFTrDA,0.4575,0.915,,0.915,1
191,191,Rousselot,3/11/2021,A51149,PFTrDA,0.458,0.916,,0.916,1
192,192,Rousselot,3/11/2021,A51151,PFTrDA,0.4735,0.947,,0.947,1
99,99,"Merrimack, NH WWTF",9/17/2020,Duplicate,PFTrDA,0.4805,0.961,,0.961,1
88,88,Ipswich Compost,9/25/2020, ,PFTrDA,0.968,,,,0
164,164,"Southbridge, MA",12/4/2020,Duplicate,PFTrDA,0.485,0.97,,0.97,1
98,98,"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,PFTrDA,0.491,0.982,,0.982,1
113,113,MWRA,12/22/2020,Primary,PFTrDA,0.5,1.0,,1.0,1
122,122,Newburyport,8/4/2021,A54268,PFTrDA,0.505,1.01,,1.01,1
96,96,"Merrimack, NH WWTF",3/6/2020,,PFTrDA,0.505,1.01,,1.01,1
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFTrDA,0.505,2.48,1.01,1.01,1
37,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,PFTrDA,0.51,1.02,,1.02,1
163,163,"Southbridge, MA",12/4/2020,Primary sample,PFTrDA,0.515,1.03,,1.03,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFTrDA,0.52,2.53,1.04,1.04,1
35,35,"Concord, NH WWTF",3/11/2020,,PFTrDA,0.52,1.04,,1.04,1
206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,PFTrDA,0.525,1.05,,1.05,1
38,38,"Concord, NH WWTF",3/19/2021,,PFTrDA,0.53,1.06,,1.06,1
193,193,Rousselot,3/11/2021,A51157,PFTrDA,0.535,1.07,,1.07,1
52,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFTrDA,0.55,4.5,1.1,1.1,1
80,80,Hoosac Water Quality District,9/15/2020, ,PFTrDA,0.56,1.12,,1.12,1
194,194,Rousselot,3/11/2021,A51158,PFTrDA,0.57,1.14,,1.14,1
5,5,Amesbury WTP,6/16/2021,A53246,PFTrDA,0.58,1.16,,1.16,1
77,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,PFTrDA,0.6,4.7,1.2,1.2,1
53,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,PFTrDA,0.6,4.7,1.2,1.2,1
6,6,Amesbury WTP,6/16/2021,A53247,PFTrDA,0.61,1.22,,1.22,1
123,123,Newburyport,8/4/2021,A54269,PFTrDA,0.635,1.27,,1.27,1
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFTrDA,0.645,3.16,1.29,1.29,1
105,105,Montague WPCF,10/26/2020,1 DUPLICATE,PFTrDA,0.65,5.1,1.3,1.3,1
201,201,Rousselot Peabody,5/12/2021,A52441,PFTrDA,0.67,1.34,,1.34,1
139,139,Rockport WTP,9/14/2020,Duplicate,PFTrDA,0.685,1.37,,1.37,1
3,3,Amesbury WTP,3/3/2021,Primary,PFTrDA,0.7,1.4,,1.4,1
159,159,Soundview Vermont Holdings,3/1/2021,SVH Duplicate,PFTrDA,1.4,4.9,1.3,1.3,0
104,104,Montague WPCF,10/26/2020,1,PFTrDA,0.7,5.6,1.4,1.4,1
203,203,Hawk Ridge Compost Facility,3/2/2021,HRCF1-B,PFTrDA,0.7,5.7,1.4,1.4,1
200,200,Rousselot Peabody,5/12/2021,A52440,PFTrDA,0.705,1.41,,1.41,1
4,4,Amesbury WTP,3/3/2021,Duplicate,PFTrDA,0.71,1.42,,1.42,1
78,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,PFTrDA,0.75,5.8,1.5,1.5,1
85,85,Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",PFTrDA,0.775,1.55,,1.55,1
202,202,Hawk Ridge Compost Facility,3/2/2021,HRCF1-A,PFTrDA,0.8,6.1,1.6,1.6,1
14,14,Barnhardt,3/23/2021,Duplicate,PFTrDA,0.81,1.62,,1.62,1
13,13,Barnhardt,3/23/2021,Primary,PFTrDA,0.815,1.63,,1.63,1
81,81,Hoosac Water Quality District,12/9/2020,,PFTrDA,0.845,1.69,,1.69,1
158,158,Soundview Vermont Holdings,3/1/2021,Primary,PFTrDA,1.7,4.8,1.2,1.2,0
44,44,"EarthSource, Inc.",10/30/2020,,PFTrDA,0.86,1.72,,1.72,1
86,86,Hoosac Water Quality District,6/2/2021,"Field
Blank",PFTrDA,0.9,1.8,,1.8,1
97,97,"Merrimack, NH WWTF",9/17/2020, ,PFTrDA,0.905,1.81,,1.81,1
195,195,Rousselot,3/11/2021,A51160,PFTrDA,0.905,1.81,,1.81,1
138,138,Rockport WTP,9/14/2020,PRIMARY SAMPLE,PFTrDA,1.0,2.0,,2.0,1
145,145,Salem Beverly NW Sample,2/12/2021,,PFTrDA,1.05,6.4,2.1,2.1,1
15,15,Barnhardt,6/8/2021,Primary,PFTrDA,1.06,2.12,,2.12,1
16,16,Barnhardt,6/8/2021,Duplicate,PFTrDA,1.075,2.15,,2.15,1
156,156,Soundview Vermont Holdings,12/9/2020,,PFTrDA,1.15,2.3,,2.3,1
157,157,Soundview Vermont Holdings,12/9/2020,,PFTrDA,1.15,2.3,,2.3,1
155,155,Somerset Water & Sewer Dept,4/26/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
161,161,Southbridge WWTF,4/8/2020,,PFTrDA,1.15,2.3,,2.3,1
34,34,Cascades Paper Mill,3/1/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
33,33,Cascades Paper Mill,3/1/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
154,154,Somerset Water & Sewer Dept,4/26/2021,Primary ,PFTrDA,1.15,2.3,,2.3,1
32,32,Cascades Paper Mill,12/11/2020,Duplicate,PFTrDA,1.15,2.3,,2.3,1
20,20,Braintree Water and Sewer,3/3/2021,,PFTrDA,1.15,2.3,,2.3,1
26,26,Bridgewater Sewer,1/27/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
25,25,Bridgewater Sewer,1/27/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
170,170,"Waste Options Nantucket, LLC",10/28/2020,,PFTrDA,1.15,2.3,,2.3,1
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFTrDA,1.15,2.3,,2.3,1
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFTrDA,1.15,2.3,,2.3,1
19,19,Braintree Water and Sewer,3/3/2021,,PFTrDA,1.15,2.3,,2.3,1
18,18,Braintree Water and Sewer,10/29/2020,,PFTrDA,1.15,2.3,,2.3,1
17,17,Braintree Water and Sewer,10/29/2020,,PFTrDA,1.15,2.3,,2.3,1
8,8,Barnhardt,6/2/2020,,PFTrDA,1.15,2.3,,2.3,1
7,7,Barnhardt,6/2/2020,,PFTrDA,1.15,2.3,,2.3,1
31,31,Cascades Paper Mill,12/11/2020,Primary,PFTrDA,1.15,2.3,,2.3,1
153,153,Somerset Water & Sewer Dept,1/19/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
106,106,Montague WPCF,3/16/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
39,39,"Concord, NH WWTF",6/1/2021,,PFTrDA,1.15,2.3,,2.3,1
56,56,Eresco (Erving),3/23/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
152,152,Somerset Water & Sewer Dept,1/19/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
79,79,Hoosac Water Quality District,5/1/2020,,PFTrDA,1.15,2.3,,2.3,1
125,125,North Chelmsford Water District,3/10/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
126,126,North Chelmsford Water District,3/10/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
127,127,Ocean Spray Middleborough ,10/30/2020,,PFTrDA,1.15,2.3,,2.3,1
118,118,Nashua WWTF,2/26/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
117,117,Nashua WWTF,2/26/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
87,87,Ipswich Compost,4/16/2020,,PFTrDA,1.15,2.3,,2.3,1
130,130,Ocean Spray Middleborough,3/26/2021,,PFTrDA,1.15,2.3,,2.3,1
95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFTrDA,1.15,2.3,,2.3,1
132,132,Resource Management Inc,11/16/2020,Primary,PFTrDA,1.15,2.3,,2.3,1
133,133,Resource Management Inc,11/16/2020,Duplicate,PFTrDA,1.15,2.3,,2.3,1
76,76,Hawk Ridge Compost,10/23/2020,Compost 2,PFTrDA,1.15,2.3,,2.3,1
101,101,"Merrimack, NH WWTF",6/2/2021,?,PFTrDA,1.15,2.3,,2.3,1
135,135,Resource Management Inc RMF,10/6/2020,Duplicate,PFTrDA,1.15,2.3,,2.3,1
149,149,Salem Beverly SE Sample,5/19/2021,,PFTrDA,1.15,2.3,,2.3,1
148,148,Salem Beverly SE Sample,2/12/2021,,PFTrDA,1.15,6.9,2.3,2.3,1
147,147,Salem Beverly SE Sample,10/6/2020,,PFTrDA,1.15,2.3,,2.3,1
146,146,Salem Beverly NW Sample,5/19/2021,,PFTrDA,1.15,2.3,,2.3,1
134,134,Resource Management Inc RMF,10/6/2020,Primary,PFTrDA,1.15,2.3,,2.3,1
107,107,Montague WPCF,3/16/2021,Duplicate,PFTrDA,1.15,2.3,,2.3,1
143,143,Salem & Beverly Water Supply,10/6/2020,,PFTrDA,1.15,2.3,,2.3,1
102,102,Middleborough ,10/30/2020,,PFTrDA,1.15,2.3,,2.3,1
47,47,Eresco (Erving),7/31/2019,,PFTrDA,1.15,2.3,,2.3,1
48,48,Eresco (Erving),5/19/2020,,PFTrDA,1.15,2.3,,2.3,1
49,49,Eresco (Erving),9/22/2020,Primary,PFTrDA,1.15,2.3,,2.3,1
55,55,Eresco (Erving),3/23/2021,Primary,PFTrDA,1.15,2.3,,2.3,1
103,103,Milorganite,5/28/2020,,PFTrDA,1.15,2.3,,2.3,1
75,75,Hawk Ridge Compost,10/23/2020,Compost 1,PFTrDA,1.15,2.3,,2.3,1
179,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,PFTrDA,1.23,6.01,2.46,2.46,1
61,61,Greater Lawrence Sanitary District,9/29/2020,,PFTrDA,1.275,2.55,,2.55,1
1,1,Amesbury WTP,12/2/2020,A49324,PFTrDA,1.3,2.6,,2.6,1
0,0,Amesbury WTP,9/9/2020, ,PFTrDA,1.3,2.6,,2.6,1
2,2,Amesbury WTP,12/2/2020,A49325,PFTrDA,1.325,2.65,,2.65,1
129,129,Ocean Spray Middleborough,3/12/2021,Duplicate,PFTrDA,1.375,2.75,,2.75,1
160,160,Soundview Vermont Holdings,5/14/2021,,PFTrDA,3.05,,,,0
190,190,Rousselot,3/11/2021,A51146,PFTrDA,1.63,3.26,,3.26,1
9,9,Barnhardt,9/3/2020,,PFTrDA,1.645,3.29,,3.29,1
189,189,Rousselot,3/11/2021,A51145,PFTrDA,1.645,3.29,,3.29,1
10,10,Barnhardt,9/3/2020,,PFTrDA,1.675,3.35,,3.35,1
185,185,Weymouth Water Dpt,4/14/2021,North Field Primary,PFTrDA,2.06,4.12,,4.12,1
128,128,Ocean Spray Middleborough,3/12/2021,Primary,PFTrDA,2.105,4.21,,4.21,1
144,144,Salem Beverly NW Sample,10/6/2020,,PFTrDA,2.2,4.4,,4.4,1
22,22,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFTrDA,2.2,17.0,4.4,4.4,1
182,182,Weymouth Water Dpt,2/8/2021,Lagoon B Duplicate,PFTrDA,2.21,10.8,4.42,4.42,1
181,181,Weymouth Water Dpt,2/8/2021,Lagoon B Primary,PFTrDA,2.23,10.9,4.46,4.46,1
11,11,Barnhardt,10/14/2020,,PFTrDA,2.3,4.6,,4.6,1
12,12,Barnhardt,10/14/2020,,PFTrDA,2.32,4.64,,4.64,1
21,21,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFTrDA,3.05,24.0,6.1,6.1,1
142,142,Rouselott,10/19/2020,,PFTrDA,3.135,6.27,,6.27,1
196,196,Rousselot Peabody,5/12/2021,A52427,PFTrDA,3.485,6.97,,6.97,1
186,186,Weymouth Water Dpt,4/14/2021,North Field Duplicate,PFTrDA,3.64,7.28,,7.28,1
197,197,Rousselot Peabody,5/12/2021,A52428,PFTrDA,4.89,9.78,,9.78,1
36,36,"Concord, NH WWTF",9/2/2020, ,PFTrDA,5.6,11.2,,11.2,1
188,188,Weymouth Water Dpt,7/22/2021,AJB NORTH FIELD DUPLICATE,PFTrDA,5.6,11.2,,11.2,1
187,187,Weymouth Water Dpt,7/22/2021,AJB NORTH,PFTrDA,5.65,11.3,,11.3,1
131,131,"Ocean Spray Receiving Station, Carver, MA",10/30/2020,,PFTrDA,12.4,24.8,,24.8,1
