,RTN,date_sampled_well,sample_id_x,lab_x,Matrix_x,lat_x,lon_x,NEtFOSAA_well,PFBS_well,PFDA_well,PFDoA_well,PFHpA_well,PFHxA_well,PFHxS_well,PFNA_well,PFOA_well,PFOS_well,PFTA_well,PFTrDA_well,PFUnA_well,elevation_well,MUSYM_well,BROCKDEPMI_well,WTDEPANNMI_well,FLODFREQDC_well,FLODFREQMA_well,PONDFREQPR_well,DRCLASSDCD_well,DRCLASSWET_well,HYDGRPDCD_well,SLOPE_well,SLOPEGRADD_well,SLOPEGRADW_well,map_unit_groups_well,slope_phase_well,primary_series_well,secondary_series_well,tertiary_series_well,primary_texture_well,secondary_texture_well,tertiary_texture_well,extra_desc_well,slope_aspect_well,level_0_DS,index_DS,report,lab_y,sample_id_y,Matrix_y,date_sampled_ds,lat_y,lon_y,NEtFOSAA_DS,PFBS_DS,PFDA_DS,PFDoA_DS,PFHpA_DS,PFHxA_DS,PFHxS_DS,PFNA_DS,PFOA_DS,PFOS_DS,PFTA_DS,PFTrDA_DS,PFUnA_DS,elevation_ds,MUSYM_ds,BROCKDEPMI_ds,WTDEPANNMI_ds,FLODFREQDC_ds,FLODFREQMA_ds,PONDFREQPR_ds,DRCLASSDCD_ds,DRCLASSWET_ds,HYDGRPDCD_ds,SLOPE_ds,SLOPEGRADD_ds,SLOPEGRADW_ds,map_unit_groups_ds,slope_phase_ds,primary_series_ds,secondary_series_ds,tertiary_series_ds,primary_texture_ds,secondary_texture_ds,tertiary_texture_ds,extra_desc_ds,slope_aspect_ds,elevation_ds_to_well,Notif_Date,days_since_release,distance_ds_to_well,bearing_ds_to_well
10,2-0020439,2019-08-02 00:00:00,181-WP,SGS,DW - Drinking Water,42.3819454,-71.48581071151096,0.915,0.230067393041986,0.9,1.8,0.199196018613995,0.0457158857530847,0.0703194956855904,0.21693304149313,1.92,0.406174103555928,0.355,0.355,1.8,65,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,4,2018-01-24 00:00:00,555.0,0.00010751783303134657,116.06656466984028
11,2-0020439,2019-08-02 00:00:00,182-WP,SGS,DW - Drinking Water,42.38135695,-71.48509687891882,0.915,0.360314829441272,0.95,1.85,0.322824158815747,1.39434512728453,0.110539815306423,0.161866799852131,2.97,0.468732857783697,0.355,0.355,1.85,66,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,555.0,0.00012644355150287617,118.00906975739032
12,2-0020439,2019-08-02 00:00:00,186-WP,SGS,DW - Drinking Water,42.38105165,-71.48542489627562,0.915,0.195392403556868,0.9,1.8,0.164172781743048,0.103016473427801,0.0571808983044128,0.189877738085371,0.33687298954026,0.341138913866691,0.355,0.355,1.8,69,52A,,15.0,None,None,0-14%,Very poorly drained,Very poorly drained,D,A,1.0,1.0,"Water, poorly, and very poorly drained soils",0 to 1 percent slopes,freetown,nan,nan,muck,nan,nan,nan,225.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,0,2018-01-24 00:00:00,555.0,0.00012228962780867598,120.53609118483631
13,2-0020439,2019-08-02 00:00:00,5-CL,SGS,DW - Drinking Water,42.38070255,-71.48822579954668,0.915,0.418259921400818,0.95,1.85,0.39948609170038,0.0630149951591323,0.127931511930878,0.211303206406503,2.97,0.529926106630819,0.355,0.355,1.85,67,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,2,2018-01-24 00:00:00,555.0,7.655186871067807e-05,131.33302411690792
14,2-0020439,2019-08-06 00:00:00,227-WHITE,SGS,DW - Drinking Water,42.37934605,-71.48959470541958,0.915,0.211159235530917,1.0,2.0,0.142033616392931,0.468860294976308,0.0763038165539599,0.0820161834180443,0.325658277043963,0.283887484041665,0.355,0.355,2.0,64,255B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,5,2018-01-24 00:00:00,559.0,7.311193019560881e-05,144.24813420612915
15,2-0020439,2019-08-06 00:00:00,241-WHITE,SGS,DW - Drinking Water,42.37922835,-71.49059166093764,0.915,0.220362082059264,1.0,2.0,0.139207369119108,0.916947469481301,0.0810418871051452,0.0848484915229261,0.340772705942836,0.304606110577836,0.355,0.355,2.0,64,255B,,,None,None,0-14%,Excessively drained,Excessively drained,A,B,6.0,6.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,3 to 8 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,90.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,5,2018-01-24 00:00:00,559.0,6.366179247664687e-05,149.52899576838422
16,2-0020439,2019-08-14 00:00:00,121-WP,SGS,DW - Drinking Water,42.3852908,-71.4840806265824,0.915,1.0775256665548,0.85,1.7,1.05065607305372,0.0738660369030935,0.50162517225561,2.12911672072164,2.62,0.669632557508649,0.355,0.355,1.7,64,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,225.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,5,2018-01-24 00:00:00,567.0,0.00013186673254433413,91.20322782976
17,2-0020439,2019-08-14 00:00:00,2-CRANBERRY,SGS,DW - Drinking Water,42.38037195,-71.48885817357761,0.915,0.163340629746703,0.9,1.8,0.282525092569991,0.383427822794835,0.0458461205164077,0.165863904206734,2.41,0.281427839936849,0.355,0.355,1.8,67,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,2,2018-01-24 00:00:00,567.0,7.093381555014632e-05,135.82613742591485
18,2-0020439,2019-08-14 00:00:00,209-WP,SGS,DW - Drinking Water,42.3805193,-71.48772622285783,0.915,0.267646543968039,0.9,1.8,0.23850512070131,0.2688865833762,0.0855067897835958,0.247452335946579,2.54,0.476990585242604,0.355,0.355,1.8,67,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,2,2018-01-24 00:00:00,567.0,8.591266247198977e-05,130.53442241843894
19,2-0020439,2019-08-21 00:00:00,225-WP,SGS,DW - Drinking Water,42.3794654,-71.48914246968714,0.915,0.449521051331763,0.95,1.85,0.288676488948642,1.01020344423029,0.207486082406989,0.240784563255682,0.941895111211046,0.907634547153811,0.355,0.355,1.85,67,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,0.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,2,2018-01-24 00:00:00,574.0,7.72667785869189e-05,141.69476767361567
20,2-0020439,2019-08-28 00:00:00,164-WHITE,SGS,DW - Drinking Water,42.38137775,-71.4838993,0.915,0.214205392937526,1.0,2.0,0.133650176020072,0.131273502193413,0.355,0.0792558595638488,0.310817243782657,0.355,0.355,0.355,2.0,66,52A,,15.0,None,None,0-14%,Very poorly drained,Very poorly drained,D,A,1.0,1.0,"Water, poorly, and very poorly drained soils",0 to 1 percent slopes,freetown,nan,nan,muck,nan,nan,nan,18.434951782226562,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,581.0,0.00015277405579883988,115.4015672322503
21,2-0020439,2019-08-28 00:00:00,174-WHITE,SGS,DW - Drinking Water,42.38166305,-71.48464230500366,0.915,5.39,1.0,2.0,4.06,12.4,0.355,0.0862921987939032,13.9,9.62,0.355,0.355,2.0,66,255A,,,None,None,0-14%,Excessively drained,Excessively drained,A,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,windsor,nan,nan,loamy sand,nan,nan,nan,135.0,1,0,2-0020439 - Hudson - Document_ID_481458 MW.pdf,Alpha,Z2-6-10032018,Water,2018-10-03 15:30:00,42.3854695,-71.49556256016757,0.258,72.5,0.296,0.298,81.7,0.121,2.04,45.1,1150,4.02,0.19875,0.2335,0.197,69,256A,,69.0,None,None,0-14%,Moderately well drained,Moderately well drained,B,A,2.0,2.0,Excessively drained to somewhat poorly drained soils formed in glacial outwash or lacustrine sediments,0 to 3 percent slopes,deerfield,nan,nan,loamy sand,nan,nan,nan,0.0,3,2018-01-24 00:00:00,581.0,0.00013374103444739645,115.25891435985677
