,index,Facility,Sample Collection Date,Sample Field ID,Acronym,Result_val,RL,MDL,limit,Result_val_cen
58,58,Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,PFHpA,0.1,0.54,0.078,0.078,0
178,178,Weymouth Water Dpt,2/8/2021,South Field Duplicate,PFHpA,0.11,0.59,0.11,0.11,1
183,183,Weymouth Water Dpt,2/8/2021,Lagoon C Primary,PFHpA,0.12,0.68,0.12,0.12,1
57,57,Eresco (Erving),6/23/2021,PRIMARY SAMPLE,PFHpA,0.12,0.44,0.064,0.064,0
116,116,MWRA,3/11/2021,Duplicate,PFHpA,0.13,0.13,,0.13,1
115,115,MWRA,3/11/2021,Primary,PFHpA,0.13,0.13,,0.13,1
177,177,Weymouth Water Dpt,2/8/2021,South Field Primary,PFHpA,0.13,0.71,0.13,0.13,1
121,121,Newburyport,11/3/2020,,PFHpA,0.14,0.14,,0.14,1
70,70,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets-DUP,PFHpA,0.15,1.0,0.15,0.15,1
69,69,Greater Lawrence Sanitary District,3/25/2021,Synagro Pellets,PFHpA,0.15,1.0,0.15,0.15,1
175,175,Weymouth Water Dpt,2/8/2021,North Field Primary,PFHpA,0.15,0.84,0.15,0.15,1
62,62,Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,PFHpA,0.16,0.42,0.061,0.061,0
208,208,Tewksbury WTP,3/23/2021,TEWK-DPW-ST-002,PFHpA,0.165,0.349,0.063,0.063,0
184,184,Weymouth Water Dpt,2/8/2021,Lagoon C Duplicatae,PFHpA,0.18,1.02,0.18,0.18,1
63,63,Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,PFHpA,0.19,0.21,0.03,0.03,0
124,124,North Chelmsford Water District,11/9/2020,,PFHpA,0.21,0.21,,0.21,1
49,49,Eresco (Erving),9/22/2020,Primary,PFHpA,0.22,0.47,0.07,0.07,0
67,67,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,PFHpA,0.224,1.24,0.224,0.224,1
68,68,Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT-DUP,PFHpA,0.228,1.27,0.228,0.228,1
169,169,"Southbridge, MA",5/11/2021,,PFHpA,0.23,0.23,,0.23,1
130,130,Ocean Spray Middleborough,3/26/2021,,PFHpA,0.23,0.23,,0.23,1
127,127,Ocean Spray Middleborough ,10/30/2020,,PFHpA,0.23,,,,0
39,39,"Concord, NH WWTF",6/1/2021,,PFHpA,0.23,0.23,,0.23,1
102,102,Middleborough ,10/30/2020,,PFHpA,0.23,,,,0
141,141,Rockport WTP,5/13/2021,Duplicate,PFHpA,0.23,0.23,,0.23,1
101,101,"Merrimack, NH WWTF",6/2/2021,?,PFHpA,0.23,0.23,,0.23,1
146,146,Salem Beverly NW Sample,5/19/2021,,PFHpA,0.23,0.23,,0.23,1
149,149,Salem Beverly SE Sample,5/19/2021,,PFHpA,0.23,0.23,,0.23,1
140,140,Rockport WTP,5/13/2021,Primary,PFHpA,0.24,0.24,,0.24,1
50,50,Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,PFHpA,0.25,0.45,0.065,0.065,0
59,59,Eresco (Erving),5/14/2021,PRIMARY SAMPLE,PFHpA,0.261,0.261,,0.261,1
60,60,Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,PFHpA,0.268,0.268,,0.268,1
93,93,Ipswich Compost,3/22/2021,Primary,PFHpA,0.287,0.231,,0.231,0
91,91,Ipswich Compost,3/22/2021,Primary,PFHpA,0.287,0.231,,0.231,0
176,176,Weymouth Water Dpt,2/8/2021,North Field Duplicate,PFHpA,0.29,1.58,0.29,0.29,1
103,103,Milorganite,5/28/2020,,PFHpA,0.3,0.3,,0.3,1
172,172,"Waste Options Nantucket, LLC",1/27/2021,Duplicate,PFHpA,0.31,0.31,0.05,0.05,0
125,125,North Chelmsford Water District,3/10/2021,Primary,PFHpA,0.31,2.2,0.31,0.31,1
134,134,Resource Management Inc RMF,10/6/2020,Primary,PFHpA,0.32,2.2,0.32,0.32,1
174,174,"Waste Options Nantucket, LLC",5/13/2021,FC051321 DUP,PFHpA,0.32,0.26,0.037,0.037,0
30,30,"Bristol RI, WPCF",2/10/2021,,PFHpA,0.34,2.0,0.34,0.34,1
171,171,"Waste Options Nantucket, LLC",1/27/2021,Primary,PFHpA,0.34,0.29,0.04,0.04,0
135,135,Resource Management Inc RMF,10/6/2020,Duplicate,PFHpA,0.36,2.5,0.36,0.36,1
120,120,City of Newburyport WTP,5/5/2021,A52309,PFHpA,0.361,0.361,,0.361,1
92,92,Ipswich Compost,3/22/2021,Duplicate,PFHpA,0.368,0.243,,0.243,0
94,94,Ipswich Compost,3/22/2021,Duplicate,PFHpA,0.368,0.243,,0.243,0
126,126,North Chelmsford Water District,3/10/2021,Duplicate,PFHpA,0.38,2.6,0.38,0.38,1
43,43,Dartmouth WWTF,4/26/2021,Duplicate,PFHpA,0.383,0.138,0.548,0.138,0
119,119,City of Newburyport WTP,5/5/2021,A52308,PFHpA,0.385,0.385,,0.385,1
173,173,"Waste Options Nantucket, LLC",5/13/2021,FC051321,PFHpA,0.39,0.25,0.037,0.037,0
198,198,Rousselot Peabody,5/12/2021,A52429,PFHpA,0.392,0.392,,0.392,1
42,42,Dartmouth WWTF,4/26/2021,Primary,PFHpA,0.393,0.158,0.682,0.158,0
199,199,Rousselot Peabody,5/12/2021,A52432,PFHpA,0.394,0.394,,0.394,1
170,170,"Waste Options Nantucket, LLC",10/28/2020,,PFHpA,0.4,,,,0
47,47,Eresco (Erving),7/31/2019,,PFHpA,0.42,0.42,,0.42,1
48,48,Eresco (Erving),5/19/2020,,PFHpA,0.44,0.44,,0.44,1
54,54,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFHpA,0.45,1.4,0.45,0.45,1
191,191,Rousselot,3/11/2021,A51149,PFHpA,0.458,0.458,,0.458,1
114,114,MWRA,12/22/2020,Duplicate,PFHpA,0.46,0.46,,0.46,1
51,51,Eresco (Erving),9/22/2020,Primary,PFHpA,0.47,1.4,0.47,0.47,1
107,107,Montague WPCF,3/16/2021,Duplicate,PFHpA,0.48,3.3,0.48,0.48,1
28,28,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost Duplicate,PFHpA,0.48,0.49,0.07,0.07,0
113,113,MWRA,12/22/2020,Primary,PFHpA,0.5,0.5,,0.5,1
112,112,MWRA,9/14/2020,Duplicate,PFHpA,0.5,0.5,,0.5,1
122,122,Newburyport,8/4/2021,A54268,PFHpA,0.505,0.505,,0.505,1
109,109,MWRA,3/11/2020,,PFHpA,0.506,0.506,,0.506,1
111,111,MWRA,9/14/2020,Primary,PFHpA,0.51,0.51,,0.51,1
24,24,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids DUP,PFHpA,0.51,3.5,0.51,0.51,1
110,110,MWRA,9/14/2020, ,PFHpA,0.51,0.51,,0.51,1
106,106,Montague WPCF,3/16/2021,Primary,PFHpA,0.51,3.5,0.51,0.51,1
37,37,"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,PFHpA,0.512,0.512,,0.512,1
192,192,Rousselot,3/11/2021,A51151,PFHpA,0.516,0.474,,0.474,0
23,23,Bridgewater Sewer,12/3/2020,(PFAS) Compost Type 1 Biosolids,PFHpA,0.52,3.6,0.52,0.52,1
38,38,"Concord, NH WWTF",3/19/2021,,PFHpA,0.528,0.528,,0.528,1
206,206,Taunton Water Treatment Facility,4/30/2021,Lagoon 2A/2B/2C Composite,PFHpA,0.53,0.53,,0.53,1
193,193,Rousselot,3/11/2021,A51157,PFHpA,0.537,0.537,,0.537,1
179,179,Weymouth Water Dpt,2/8/2021,Lagoon A Primary,PFHpA,0.54,3.0,0.54,0.54,1
205,205,RMI-RMF,3/31/2021,Duplicate,PFHpA,0.57,0.61,0.088,0.088,0
194,194,Rousselot,3/11/2021,A51158,PFHpA,0.571,0.571,,0.571,1
5,5,Amesbury WTP,6/16/2021,A53246,PFHpA,0.579,0.579,,0.579,1
160,160,Soundview Vermont Holdings,5/14/2021,,PFHpA,0.59,,,,0
180,180,Weymouth Water Dpt,2/8/2021,Lagoon A Duplicate,PFHpA,0.59,3.25,0.59,0.59,1
27,27,Bridgewater Sewer,4/28/2021,Type1 Biosolids-Compost,PFHpA,0.6,0.4,0.059,0.059,0
6,6,Amesbury WTP,6/16/2021,A53247,PFHpA,0.611,0.611,,0.611,1
123,123,Newburyport,8/4/2021,A54269,PFHpA,0.635,0.635,,0.635,1
61,61,Greater Lawrence Sanitary District,9/29/2020,,PFHpA,0.64,0.64,,0.64,1
1,1,Amesbury WTP,12/2/2020,A49324,PFHpA,0.65,0.65,,0.65,1
29,29,"Bristol RI, WPCF",10/14/2020,,PFHpA,0.65,,,,0
52,52,Eresco (Erving),12/15/2020,PRIMARY SAMPLE,PFHpA,0.65,4.5,0.65,0.65,1
2,2,Amesbury WTP,12/2/2020,A49325,PFHpA,0.663,0.663,,0.663,1
201,201,Rousselot Peabody,5/12/2021,A52441,PFHpA,0.67,0.67,,0.67,1
157,157,Soundview Vermont Holdings,12/9/2020,,PFHpA,0.67,0.49,0.071,0.071,0
77,77,Hawk Ridge Compost Facility,5/2/2021,HRCF051221,PFHpA,0.68,4.7,0.68,0.68,1
53,53,Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,PFHpA,0.69,4.7,0.69,0.69,1
158,158,Soundview Vermont Holdings,3/1/2021,Primary,PFHpA,0.7,4.8,0.7,0.7,1
3,3,Amesbury WTP,3/3/2021,Primary,PFHpA,0.701,0.701,,0.701,1
200,200,Rousselot Peabody,5/12/2021,A52440,PFHpA,0.706,0.706,,0.706,1
4,4,Amesbury WTP,3/3/2021,Duplicate,PFHpA,0.709,0.709,,0.709,1
159,159,Soundview Vermont Holdings,3/1/2021,SVH Duplicate,PFHpA,0.72,4.9,0.72,0.72,1
95,95,Ipswich Compost,6/4/2021,Ipswich Compost,PFHpA,0.725,,,,0
105,105,Montague WPCF,10/26/2020,1 DUPLICATE,PFHpA,0.73,5.1,0.73,0.73,1
88,88,Ipswich Compost,9/25/2020, ,PFHpA,0.732,0.732,,0.732,1
165,165,"Southbridge, MA",2/11/2021,Primary,PFHpA,0.733,0.234,,0.234,0
166,166,"Southbridge, MA",2/11/2021,Duplicate,PFHpA,0.748,0.229,,0.229,0
32,32,Cascades Paper Mill,12/11/2020,Duplicate,PFHpA,0.76,5.2,0.76,0.76,1
162,162,Southbridge WWTF,9/25/2020,,PFHpA,0.77,0.77,,0.77,1
76,76,Hawk Ridge Compost,10/23/2020,Compost 2,PFHpA,0.78,5.4,0.78,0.78,1
33,33,Cascades Paper Mill,3/1/2021,Primary,PFHpA,0.78,5.3,0.78,0.78,1
156,156,Soundview Vermont Holdings,12/9/2020,,PFHpA,0.78,0.54,0.078,0.078,0
204,204,RMI-RMF,3/31/2021,Primary,PFHpA,0.8,0.74,0.11,0.11,0
14,14,Barnhardt,3/23/2021,Duplicate,PFHpA,0.81,0.81,,0.81,1
104,104,Montague WPCF,10/26/2020,1,PFHpA,0.81,5.6,0.81,0.81,1
13,13,Barnhardt,3/23/2021,Primary,PFHpA,0.815,0.815,,0.815,1
34,34,Cascades Paper Mill,3/1/2021,Duplicate,PFHpA,0.82,5.7,0.82,0.82,1
78,78,Hawk Ridge Compost Facility,5/2/2021,HRCF 051221-DUP,PFHpA,0.84,5.8,0.84,0.84,1
25,25,Bridgewater Sewer,1/27/2021,Primary,PFHpA,0.86,5.9,0.86,0.86,1
31,31,Cascades Paper Mill,12/11/2020,Primary,PFHpA,0.89,6.1,0.89,0.89,1
108,108,MWRA,3/25/2019,,PFHpA,0.893,0.893,,0.893,1
168,168,"Southbridge, MA",5/11/2021,,PFHpA,0.9,0.23,,0.23,0
118,118,Nashua WWTF,2/26/2021,Duplicate,PFHpA,0.9,6.2,0.9,0.9,1
26,26,Bridgewater Sewer,1/27/2021,Duplicate,PFHpA,0.93,6.4,0.93,0.93,1
89,89,Ipswich Compost,12/30/2020,Primary,PFHpA,0.938,0.318,,0.318,0
117,117,Nashua WWTF,2/26/2021,Primary,PFHpA,0.97,6.7,0.97,0.97,1
164,164,"Southbridge, MA",12/4/2020,Duplicate,PFHpA,0.97,0.97,,0.97,1
182,182,Weymouth Water Dpt,2/8/2021,Lagoon B Duplicate,PFHpA,0.98,5.4,0.98,0.98,1
181,181,Weymouth Water Dpt,2/8/2021,Lagoon B Primary,PFHpA,0.98,5.45,0.98,0.98,1
167,167,"Southbridge, MA",5/11/2021,,PFHpA,1.0,0.23,,0.23,0
99,99,"Merrimack, NH WWTF",9/17/2020,Duplicate,PFHpA,1.0,,,,0
161,161,Southbridge WWTF,4/8/2020,,PFHpA,1.01,,,,0
163,163,"Southbridge, MA",12/4/2020,Primary sample,PFHpA,1.03,1.03,,1.03,1
35,35,"Concord, NH WWTF",3/11/2020,,PFHpA,1.04,1.04,,1.04,1
15,15,Barnhardt,6/8/2021,Primary,PFHpA,1.06,1.06,,1.06,1
16,16,Barnhardt,6/8/2021,Duplicate,PFHpA,1.07,1.07,,1.07,1
90,90,Ipswich Compost,12/30/2020,Duplicate,PFHpA,1.09,0.306,,0.306,0
11,11,Barnhardt,10/14/2020,,PFHpA,1.15,1.15,,1.15,1
12,12,Barnhardt,10/14/2020,,PFHpA,1.16,1.16,,1.16,1
98,98,"Merrimack, NH WWTF",9/17/2020,PRIMARY SAMPLE,PFHpA,1.21,,,,0
132,132,Resource Management Inc,11/16/2020,Primary,PFHpA,1.3,9.0,1.3,1.3,1
133,133,Resource Management Inc,11/16/2020,Duplicate,PFHpA,1.3,9.1,1.3,1.3,1
139,139,Rockport WTP,9/14/2020,Duplicate,PFHpA,1.37,1.37,,1.37,1
129,129,Ocean Spray Middleborough,3/12/2021,Duplicate,PFHpA,1.38,1.38,,1.38,1
40,40,Dartmouth WWTF,10/27/2020,Primary,PFHpA,1.42,0.509,0.136,0.136,0
142,142,Rouselott,10/19/2020,,PFHpA,1.57,1.57,,1.57,1
100,100,"Merrimack, NH WWTF",3/19/2021,,PFHpA,1.58,0.25,,0.25,0
190,190,Rousselot,3/11/2021,A51146,PFHpA,1.63,1.63,,1.63,1
189,189,Rousselot,3/11/2021,A51145,PFHpA,1.65,1.65,,1.65,1
96,96,"Merrimack, NH WWTF",3/6/2020,,PFHpA,1.65,,,,0
44,44,"EarthSource, Inc.",10/30/2020,,PFHpA,1.72,1.72,,1.72,1
86,86,Hoosac Water Quality District,6/2/2021,"Field
Blank",PFHpA,1.8,1.8,,1.8,1
195,195,Rousselot,3/11/2021,A51160,PFHpA,1.81,1.81,,1.81,1
87,87,Ipswich Compost,4/16/2020,,PFHpA,1.88,,,,0
41,41,Dartmouth WWTF,10/27/2020,Duplicate,PFHpA,1.94,0.499,0.126,0.126,0
138,138,Rockport WTP,9/14/2020,PRIMARY SAMPLE,PFHpA,2.0,2.0,,2.0,1
185,185,Weymouth Water Dpt,4/14/2021,North Field Primary,PFHpA,2.06,2.06,,2.06,1
128,128,Ocean Spray Middleborough,3/12/2021,Primary,PFHpA,2.1,2.1,,2.1,1
145,145,Salem Beverly NW Sample,2/12/2021,,PFHpA,2.1,6.4,2.1,2.1,1
18,18,Braintree Water and Sewer,10/29/2020,,PFHpA,2.2,15.0,2.2,2.2,1
148,148,Salem Beverly SE Sample,2/12/2021,,PFHpA,2.3,6.9,2.3,2.3,1
147,147,Salem Beverly SE Sample,10/6/2020,,PFHpA,2.3,2.3,,2.3,1
143,143,Salem & Beverly Water Supply,10/6/2020,,PFHpA,2.3,2.3,,2.3,1
151,151,Somerset Water & Sewer Dept,10/27/2020,Duplicate,PFHpA,2.4,2.2,0.31,0.31,0
97,97,"Merrimack, NH WWTF",9/17/2020, ,PFHpA,2.45,,,,0
20,20,Braintree Water and Sewer,3/3/2021,,PFHpA,2.5,17.0,2.5,2.5,1
22,22,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFHpA,2.5,17.0,2.5,2.5,1
0,0,Amesbury WTP,9/9/2020, ,PFHpA,2.6,2.6,,2.6,1
150,150,Somerset Water & Sewer Dept,10/27/2020,Primary,PFHpA,2.8,2.3,0.33,0.33,0
84,84,Hoosac Water Quality District,6/2/2021,Final Compost,PFHpA,2.99,0.209,,0.209,0
17,17,Braintree Water and Sewer,10/29/2020,,PFHpA,3.0,20.0,3.0,3.0,1
85,85,Hoosac Water Quality District,6/2/2021,"Final Compost
Duplicate",PFHpA,3.08,0.776,,0.776,0
7,7,Barnhardt,6/2/2020,,PFHpA,3.09,3.09,,3.09,1
8,8,Barnhardt,6/2/2020,,PFHpA,3.2,3.2,,3.2,1
9,9,Barnhardt,9/3/2020,,PFHpA,3.29,3.29,,3.29,1
10,10,Barnhardt,9/3/2020,,PFHpA,3.35,3.35,,3.35,1
196,196,Rousselot Peabody,5/12/2021,A52427,PFHpA,3.48,3.48,,3.48,1
19,19,Braintree Water and Sewer,3/3/2021,,PFHpA,3.5,24.0,3.5,3.5,1
81,81,Hoosac Water Quality District,12/9/2020,,PFHpA,3.53,1.69,,1.69,0
186,186,Weymouth Water Dpt,4/14/2021,North Field Duplicate,PFHpA,3.64,3.64,,3.64,1
75,75,Hawk Ridge Compost,10/23/2020,Compost 1,PFHpA,4.0,0.58,0.085,0.085,0
144,144,Salem Beverly NW Sample,10/6/2020,,PFHpA,4.4,4.4,,4.4,1
80,80,Hoosac Water Quality District,9/15/2020, ,PFHpA,4.5,,,,0
83,83,Hoosac Water Quality District,3/3/2021,"Final Compost
Duplicate",PFHpA,4.61,0.221,,0.221,0
82,82,Hoosac Water Quality District,3/3/2021,Final Compost,PFHpA,4.87,0.212,,0.212,0
197,197,Rousselot Peabody,5/12/2021,A52428,PFHpA,4.89,4.89,,4.89,1
79,79,Hoosac Water Quality District,5/1/2020,,PFHpA,5.4,,,,0
188,188,Weymouth Water Dpt,7/22/2021,AJB NORTH FIELD DUPLICATE,PFHpA,5.61,5.61,,5.61,1
187,187,Weymouth Water Dpt,7/22/2021,AJB NORTH,PFHpA,5.66,5.66,,5.66,1
21,21,Braintree Water and Sewer,3/3/2021,PFAS BIOSOLIDS NorthLagoon,PFHpA,5.7,24.0,3.5,3.5,0
203,203,Hawk Ridge Compost Facility,3/2/2021,HRCF1-B,PFHpA,6.1,5.7,0.82,0.82,0
131,131,"Ocean Spray Receiving Station, Carver, MA",10/30/2020,,PFHpA,6.19,6.19,,6.19,1
153,153,Somerset Water & Sewer Dept,1/19/2021,Duplicate,PFHpA,6.6,3.4,0.49,0.49,0
152,152,Somerset Water & Sewer Dept,1/19/2021,Primary,PFHpA,7.0,3.3,0.48,0.48,0
202,202,Hawk Ridge Compost Facility,3/2/2021,HRCF1-A,PFHpA,7.1,6.1,0.89,0.89,0
155,155,Somerset Water & Sewer Dept,4/26/2021,Duplicate,PFHpA,7.8,3.7,0.53,0.53,0
154,154,Somerset Water & Sewer Dept,4/26/2021,Primary ,PFHpA,9.1,4.6,0.66,0.66,0
36,36,"Concord, NH WWTF",9/2/2020, ,PFHpA,11.2,11.2,,11.2,1
