,folder,report,RTN,address,lab,error,results_page
45,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,36
47,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,38
49,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,40
51,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,42
53,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,44
55,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,46
57,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,48
59,2-0021045 - Stow - MA Fire Academy/,lab report FA68136 stormwater_waste_wetland soil 09-17-2019.pdf,2-0021045,,sgs,not sample results data,50
61,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,7
63,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,9
65,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,11
67,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,13
69,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,15
71,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,17
73,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,19
75,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,21
77,2-0021045 - Stow - MA Fire Academy/,lab report FA68180 gas training area soil 09-18-2019.pdf,2-0021045,,sgs,not sample results data,23
79,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,9
81,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,11
83,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,13
85,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,15
87,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,17
89,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,19
91,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,21
93,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,23
95,2-0021045 - Stow - MA Fire Academy/,lab report FA68371 groundwater pfas 09-23-2019.pdf,2-0021045,,sgs,not sample results data,25
97,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,sgs,not sample results data,7
99,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,sgs,not sample results data,9
101,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,sgs,not sample results data,11
104,2-0021045 - Stow - MA Fire Academy/,lab report FA68135 white pond 09-17-2019.pdf,2-0021045,,sgs,not sample results data,14
106,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,10
108,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,12
110,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,14
112,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,16
114,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,18
116,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,20
118,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,22
120,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,24
122,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,26
124,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,28
126,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,30
128,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,32
130,2-0021045 - Stow - MA Fire Academy/,lab report FA68228 soil cmg4-7.pdf,2-0021045,,sgs,not sample results data,34
132,2-0021045 - Stow - MA Fire Academy/,lab report FA68229 surface water sw1.pdf,2-0021045,,sgs,not sample results data,8
135,2-0021045 - Stow - MA Fire Academy/,lab report FA68611 slope pfas 10-03-2019.pdf,2-0021045,,sgs,not sample results data,8
137,2-0021045 - Stow - MA Fire Academy/,lab report FA68611 slope pfas 10-03-2019.pdf,2-0021045,,sgs,not sample results data,10
139,2-0021045 - Stow - MA Fire Academy/,lab report FA68611 slope pfas 10-03-2019.pdf,2-0021045,,sgs,not sample results data,12
140,2-0021045 - Stow - MA Fire Academy/,lab report L1945823 slope dioxins 10-03-2019.pdf,2-0021045,,alpha,no results pages found,
141,2-0021045 - Stow - MA Fire Academy/,32101279_6-15-21_60 Chest.pdf,2-0021045,,sgs-final,,
142,2-0021045 - Stow - MA Fire Academy/,32101169 - 10 Beechnut Lane.pdf,2-0021045,,sgs-final,,
143,2-0021045 - Stow - MA Fire Academy/,21F1721_709 MassAveBoxboro 6-28-2021.pdf,2-0021045,,,could not determine lab,
144,2-0021045 - Stow - MA Fire Academy/,32101278_06-16-21_30 Chest.pdf,2-0021045,,sgs-final,,
145,2-0021045 - Stow - MA Fire Academy/,32101169_10 BEECH_15-Jun-2021.pdf,2-0021045,,sgs-final,,
146,2-0021045 - Stow - MA Fire Academy/,32101121_264 Chestnut Street.pdf,2-0021045,,sgs-final,,
147,2-0021045 - Stow - MA Fire Academy/,32101121_Level 4_FINAL.pdf,2-0021045,,sgs-final,,
153,2-0021045 - Stow - MA Fire Academy/,32101281_6-15-21_2 Chest.pdf,2-0021045,,sgs-final,,
162,2-0021045 - Stow - MA Fire Academy/,32101740_pepperell water PFAS data_07272021.pdf,2-0021045,,sgs-final,,
169,2-0021045 - Stow - MA Fire Academy/,32101393_6-28-21_38 Chest.pdf,2-0021045,,sgs-final,,
193,2-0021045 - Stow - MA Fire Academy/,32101739_townsend_gw data 20210726.pdf,2-0021045,,sgs-final,,
194,2-0021045 - Stow - MA Fire Academy/,32101280_6-16-21_40 Chest.pdf,2-0021045,,sgs-final,,
196,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,9
198,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,11
200,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,13
202,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,15
204,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,17
206,2-0021045 - Stow - MA Fire Academy/,gleasondale surface water data_11182021.pdf,2-0021045,,sgs,not sample results data,19
