AOS Facility Name,Associated MassDEP Region ,MassDEP Bureau,Location of Facility,Management Facility,Mailing Address 1 Facility,Mailing Address 1 Job,Mailing Address 1 Street,Mailing Address 1 Town,Mailing Address 2 Facility,Mailing Address 2 title,Mailing Address 2 First Name,Mailing Address 2 Last Name,Mailing Address 2 Job,Mailing Address 2 Street,Mailing Address 2 Town,Mailing Address 3 Facility,Mailing Address 3 title,Mailing Address 3 First Name,Mailing Address 3 Last Name,Mailing Address 3 Street,Mailing Address 3 Town
Hawk Ridge Compost,Boston,BWR-WW,"Unity, ME",Casella Organics,"Hawk Ridge Compost Facility, Unity Plantation",,73 Reynolds Rd,"Unity, ME 04988",Casella Organics,Ms.,Mary,Waring,Compliance Manager,"755 Banfield Road, Suite 201","Portsmouth, NH 03801",,,,,,
Hoosac Water Quality District,WERO,BWR-WW,HWQD,HWQD,"Hoosac Water Quality District 
",,667 Simonds Road ,"Williamstown, MA 01267",Agresource,Mr.,Mike ,Carignan ,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
Ipswich Compost,NERO,BWR-WW,"Ipswich, MA",Agresource Inc.,Ipswich Compost Facility,,Town Farm Road,"Ipswich, MA 01938",Agresource,Mr.,Mike ,Carignan ,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
"Merrimack, NH WWTF",Boston,BWR-WW,"Merrimack, NH","Merrimack, NH",Merrimack Wastewater Treatment Facility,,36 Mast Rd.,"Merrimack, NH 03054",Agresource,Mr.,Mike ,Carignan ,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
Middleborough,,,,,,,,,,,,,,,,,,,,,
Milorganite,Boston,BWR-WW,"Milwaukee, MN",MMSD,"Milorganite
",,260 W. Seeboth St. ,"Milwaukee, WI 53204",,,,,,,,,,,,,
Montague WPCF,WERO,BWR-WW,Town of Montague,Town Montague,"Montague Water Pollution Control Facility
",,34 Greenfield Road ,"Montague, MA 01351",,,,,,,,,,,,,
MWRA,NERO,BWR-WW,"Quincy, MA",MWRA,"Massachusetts Water Resource Authority (MWRA)	",Director,551 South Street,"Quincy, MA 02169",NEFCO,Mr.,Michael,Ryan, Plant Manager ,97 East Howard Street ,"Quincy, MA 02169 ",,,,,,
Nashua WWTF,Boston,BWR-WW,"Nashua, NH",Casella Organics,Nashua Wastewater Treatment Facility,,2 Sawmill Road,"Nashua, NH 03060","Resource Management, Inc. ",Ms.,April ,Sargent ,,1171 NH RT 175 ,"Holderness, NH 03245 ",,,,,,
City of Newburyport WTP,NERO,BWR- DW,,,City of Newburyport Water Division,Superintendent,7 Spring Lane,Newburyport MA 01950,,,,,,,,,,,,,
North Chelmsford Water District,NERO,BWR- DW,,,North Chelmsford Water District ,Superintendent ,64 Washington Street,"North Chelmsford, MA 01863",,,,,,,,,,,,,
"Ocean Spray Receiving Station, Carver, MA",SERO,BWR-WW,Carver,Ocean Spray,Ocean Spray Cranberries,,60 Federal Rd,"South Carver, MA 02330",,,,,,,,,,,,,
Ocean Spray Middleborough,SERO,BWR-WW,Middleborough,Ocean Spray,Ocean Spray Cranberries,,152 Bridge St,"Middleboro, MA 02346",,,,,,,,,,,,,
Resource Management Inc RMF,Boston,BWR-WW,"New Hampton, NH",Casella Organics,"Resource Management, Inc. (RMI) Residuals Management Facility (RMF)",,1171 New Hampshire Rte 175,"Holderness, NH 03245",,,,,,,,,,,,,
Rockport WTP,NERO,BWR- DW,Rockport Water Department,,Rockport Water Department,,3 DPW Way,"Rockport, MA 01966",,,,,,,,,,,,,
Rousselot,NERO,BAS,"Peabody, MA","Rousselot Peabody, Inc","Rousselot, Lime Slurry Waste",,227 Washington Street,"Peabody, MA 01960",Agresource,Mr.,Mike  ,Carignan,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
Salem-Beverly Water Department,NERO,BWR- DW,"Beverly, MA",,Salem-Beverly Water Supply Board,Deputy Director,50 Arlington Ave,"Beverly, MA 01915",,,,,,,,,,,,,
Somerset WWTF,SERO,BWR-WW,Somerset,Town of Somerset,Somerset Water Pollution Control Facility,,"116 Walker Street
","Somerset, MA 02725",Somerset Water Pollution Control Facility,Mr.,Harry ,Gracia ,,116 Walker Street,"Somerset, MA 02725",,,,,,
Soundview Vermont Holdings,Boston,BWR-WW,"Putney, VT",RMI,"Soundview Vermont Holdings, LLC",,Old Depot Road,"Putney, VT 05346","Resource Management, Inc. ",Ms.,April  ,Sargent,,1171 NH RT 175 ,"Holderness, NH 03245 ",,,,,,
Southbridge WWTF,CERO,BAS (AOS issuance)/BWR (compliance),Southbridge,Town of Southbridge,Southbridge Wastewater Treatment Facility,,83 Dresser Hill Road,"Southbridge, MA 01550",Agresource,Mr.,Mike ,Carignan ,,110 Boxford Rd.,"Rowley, MA 01969",,,,,,
Taunton Water Treatment Facility,SERO,BWR-DW,"Lakeville, MA",Taunton Water Division,Taunton Water Division,,90 Precinct Street,"Lakeville, MA 02347",,,,,,,,,,,,,
Tewksbury Water Department,NERO,BWR- DW,"Tewksbury, MA",,Tewksbury Water Treatment Plant,Superintendent of Public Works ,"71 Merrimac Dr
","Tewksbury, MA 01876",,,,,,,,,,,,,
"Waste Options Nantucket, LLC",SERO,BWR-WW/BAS,,,"Waste Options Nantucket, LLC",,188 Madaket Road,"Nantucket, MA 02254","Sitec Environmental, Inc.",Mr.,Mike,Quatromoni,,"769 Plain Street, Unit C","Marshfield, MA 02050",,,,,,
Weymouth Water Dpt,SERO,BWR-DW,"Weymouth, MA",Weymouth Water Dept,Weymouth Water Department,,120 Winter Street,"Weymouth, MA 02188",,,,,,,,,,,,,
