,folder,report,RTN,type,address,lab,error,results_pages,extracted
26,AFFF Lab Reports/,AFFF Sampling Results - National Foam Training Foam- Maynard.pdf,,source,,alpha,,7,True
27,AFFF Lab Reports/,AFFF Sampling Results - National Foam Training Foam- Maynard.pdf,,source,,alpha,,9,True
28,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown -  Rutland (002).pdf,,source,,alpha,,7,True
29,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown -  Rutland (002).pdf,,source,,alpha,,8,True
30,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown -  Rutland (002).pdf,,source,,alpha,,10,True
31,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown -  Rutland (002).pdf,,source,,alpha,,11,True
32,AFFF Lab Reports/,AFFF Sampling Results - FEECON - Holden.pdf,,source,,alpha,,9,True
33,AFFF Lab Reports/,AFFF Sampling Results - FEECON - Holden.pdf,,source,,alpha,,12,True
34,AFFF Lab Reports/,AFFF Sampling Results - FEECON - Holden.pdf,,source,,alpha,,16,True
35,AFFF Lab Reports/,AFFF Sampling Results - FEECON - Holden.pdf,,source,,alpha,,17,True
36,AFFF Lab Reports/,AFFF Sampling Results - National Foam Centurion Gardner.pdf,,source,,alpha,,7,True
37,AFFF Lab Reports/,AFFF Sampling Results - National Foam Centurion Gardner.pdf,,source,,alpha,,10,True
38,AFFF Lab Reports/,AFFF Sampling Results - 3M Light Water- Uxbridge.pdf,,source,,alpha,,8,True
39,AFFF Lab Reports/,AFFF Sampling Results - 3M Light Water- Uxbridge.pdf,,source,,alpha,,10,True
40,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,11,True
41,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,12,True
42,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,15,True
43,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,18,True
44,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,20,True
45,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,21,True
46,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,25,True
47,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,27,True
48,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,29,True
49,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,31,True
50,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,33,True
51,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,35,True
52,AFFF Lab Reports/,AFFF Sampling Results - Firestopper XL Plus FFC- Unspecified Location.pdf,,source,,alpha,,37,True
53,AFFF Lab Reports/,AFFF Sampling Results - National Foam Universal Low Viscosity West Boylston.pdf,,source,,alpha,,7,True
54,AFFF Lab Reports/,AFFF Sampling Results - National Foam Universal Low Viscosity West Boylston.pdf,,source,,alpha,,9,True
55,AFFF Lab Reports/,AFFF Sampling Results - FireAde 2000- Hudson.pdf,,source,,alpha,,7,True
56,AFFF Lab Reports/,AFFF Sampling Results - FireAde 2000- Hudson.pdf,,source,,alpha,,9,True
57,AFFF Lab Reports/,AFFF Sampling Results - FireAde 2000- Hudson.pdf,,source,,alpha,,11,True
58,AFFF Lab Reports/,AFFF Sampling Results - FireAde 2000- Hudson.pdf,,source,,alpha,,13,True
59,AFFF Lab Reports/,AFFF Sampling Results - 3M Light Water- Cotuit.pdf,,source,,alpha,,8,True
60,AFFF Lab Reports/,AFFF Sampling Results - 3M Light Water- Cotuit.pdf,,source,,alpha,,9,True
61,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C-137- Sutton.pdf,,source,,alpha,,7,True
62,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C-137- Sutton.pdf,,source,,alpha,,9,True
63,AFFF Lab Reports/,AFFF Sampling Results - F-500- Rutland.pdf,,source,,alpha,,7,True
64,AFFF Lab Reports/,AFFF Sampling Results - F-500- Rutland.pdf,,source,,alpha,,8,True
65,AFFF Lab Reports/,AFFF Sampling Results - F-500- Rutland.pdf,,source,,alpha,,10,True
66,AFFF Lab Reports/,AFFF Sampling Results - F-500- Rutland.pdf,,source,,alpha,,11,True
67,AFFF Lab Reports/,AFFF Sampling Results - 3M- Millbury.pdf,,source,,alpha,,7,True
68,AFFF Lab Reports/,AFFF Sampling Results - 3M- Millbury.pdf,,source,,alpha,,10,True
69,AFFF Lab Reports/,AFFF Sampling Results - 3M- Millbury.pdf,,source,,alpha,,12,True
70,AFFF Lab Reports/,AFFF Sampling Results - F500- Sutton.pdf,,source,,alpha,,8,True
71,AFFF Lab Reports/,AFFF Sampling Results - F500- Sutton.pdf,,source,,alpha,,9,True
72,AFFF Lab Reports/,AFFF Sampling Results - F500- Sutton.pdf,,source,,alpha,,11,True
73,AFFF Lab Reports/,AFFF Sampling Results - F500- Sutton.pdf,,source,,alpha,,14,True
74,AFFF Lab Reports/,AFFF Sampling Results - F500- Sutton.pdf,,source,,alpha,,16,True
75,AFFF Lab Reports/,AFFF Sampling Results - Chemguard Xtra High Expansion- Hudson.pdf,,source,,alpha,,7,True
76,AFFF Lab Reports/,AFFF Sampling Results - Chemguard Xtra High Expansion- Hudson.pdf,,source,,alpha,,9,True
77,AFFF Lab Reports/,AFFF Sampling Results - Chemguard Xtra High Expansion- Hudson.pdf,,source,,alpha,,11,True
78,AFFF Lab Reports/,AFFF Sampling Results - Chemguard Xtra High Expansion- Hudson.pdf,,source,,alpha,,13,True
79,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C-363- Northborough.pdf,,source,,alpha,,7,True
80,AFFF Lab Reports/,AFFF Sampling Results - Chemguard C-363- Northborough.pdf,,source,,alpha,,9,True
81,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold - Holden - annotated.pdf,,source,,alpha,,9,True
82,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold - Holden - annotated.pdf,,source,,alpha,,12,True
83,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold - Holden - annotated.pdf,,source,,alpha,,16,True
84,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold - Holden - annotated.pdf,,source,,alpha,,17,True
85,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,9,True
86,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,10,True
87,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,12,True
88,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,15,True
89,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,18,True
90,AFFF Lab Reports/,AFFF Sampling Results - NovaCool- Hyannis.pdf,,source,,alpha,,20,True
91,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold - Westminster.pdf,,source,,alpha,,9,True
92,AFFF Lab Reports/,AFFF Sampling Results - NF Universal Gold- Westminster - annotated.pdf,,source,,alpha,,11,True
93,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown- Sutton.pdf,,source,,alpha,,8,True
94,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown- Sutton.pdf,,source,,alpha,,9,True
95,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown- Sutton.pdf,,source,,alpha,,11,True
96,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown- Sutton.pdf,,source,,alpha,,14,True
97,AFFF Lab Reports/,AFFF Sampling Results - NF Knockdown- Sutton.pdf,,source,,alpha,,16,True
98,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66541 - 189 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
99,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66538 - 115 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
100,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66543 - 201 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
101,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66534  - 69 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
103,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66771 - 241 White Pond - 08-06-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
104,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66772 - 227 White Pond - 08-06-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
105,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66542 - 159 White Pond 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
106,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66542 - 159 White Pond 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
107,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,fa66540 -  107 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
108,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,fa66540 -  107 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
109,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66535 - 75 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
110,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66535 - 75 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
111,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66709 - 5 Cranberry - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
112,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66709 - 5 Cranberry - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
113,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66703 - 178 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
114,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66703 - 178 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
115,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66706 - 168 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
116,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66706 - 168 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
117,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66545 - 169 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
118,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66545 - 169 White Pond - 07-30-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
119,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66705 - 186 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
120,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66708 - 182 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
121,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66708 - 182 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
122,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66704 - 181 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
123,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA66704 - 181 White Pond - 08-02-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
124,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67052 - 209 White Pond - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
125,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67052 - 209 White Pond - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
126,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67057 - 2 Cranberry - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
127,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67057 - 2 Cranberry - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
128,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67055 - 121 White Pond - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
129,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67055 - 121 White Pond - 08-14-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
130,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67323 - 225 White Pond - 08-21-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
131,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67605 - 164 White Pond - 08-28-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
132,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67621 - 233 White Pond - 08-28-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
133,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67606 - 174 White Pond - 08-28-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
134,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA67606 - 174 White Pond - 08-28-2019 Final.pdf,2-0020439,receptor,,sgs,,7,True
135,Disposal Site Private Well Lab Reports/2-0020439 - Hudson - Cranberry PWS/,FA68408 - 4 Cranberry - 09-25-2019 Final.pdf,2-0020439,receptor,,sgs,,6,True
137,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1928540 - 341 Chestnut - 06-28-2019 Final.pdf,2-0020923,receptor,,alpha,,6,True
138,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1928540 - 341 Chestnut - 06-28-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
139,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927078 - 308 Chestnut Mid 06-21-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
140,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927078 - 308 Chestnut Mid 06-21-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
141,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927079 - 308 Chestnut Treated - 06-21-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
142,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927079 - 308 Chestnut Treated - 06-21-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
143,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927592 - 296 Chestnut - 06-25-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
144,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1927592 - 296 Chestnut - 06-25-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
145,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926236 - 3 Stony 06-18-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
146,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926236 - 3 Stony 06-18-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
147,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929032 - 3 Stony 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
148,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929032 - 3 Stony 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
149,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929032 - 3 Stony 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
151,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929227 - 7 Beechnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
152,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929227 - 7 Beechnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
153,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929030 - 300 Chestnut - 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
154,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929030 - 300 Chestnut - 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
155,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929030 - 300 Chestnut - 07-02-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
156,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929231 - 3 Beechnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
157,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929231 - 3 Beechnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
158,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929234 - 264 Chestnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
159,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929234 - 264 Chestnut - 07-03-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
160,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929242 - 307 Chestnut - 07-03-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
161,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929242 - 307 Chestnut - 07-03-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
162,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929242 - 307 Chestnut - 07-03-19 Final.pdf,2-0020923,receptor,,alpha,,9,True
163,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929549 - 300 Chestnut - 07-08-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
164,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929549 - 300 Chestnut - 07-08-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
165,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929549 - 300 Chestnut - 07-08-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
166,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1930188 -3 Stony 07-10-2019 Prelim.pdf,2-0020923,receptor,,alpha,,8,True
167,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1930188 -3 Stony 07-10-2019 Prelim.pdf,2-0020923,receptor,,alpha,,9,True
168,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1930188 -3 Stony 07-10-2019 Prelim.pdf,2-0020923,receptor,,alpha,,10,True
169,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929543 - 8 Beachnut - 07-08-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
170,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929543 - 8 Beachnut - 07-08-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
171,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926570 - 300 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
172,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926570 - 300 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
173,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926572 - 307 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
174,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926572 - 307 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
175,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926572 - 307 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
176,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1924635 - 308 Chestnut - 06-10-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
177,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1924635 - 308 Chestnut - 06-10-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
178,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1924635 - 308 Chestnut - 06-10-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
179,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926567 - 305 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
180,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926567 - 305 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,8,True
181,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926567 - 305 Chestnut - 06-19-2019 Final.pdf,2-0020923,receptor,,alpha,,9,True
182,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926569 - 290 Chestnut 6-19-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
183,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1926569 - 290 Chestnut 6-19-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
184,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929548 - 10 Beachnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
185,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929548 - 10 Beachnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
186,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929548 - 10 Beachnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,9,True
187,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929544 - 359 Chestnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,7,True
188,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929544 - 359 Chestnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,8,True
189,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1929544 - 359 Chestnut 07-08-19 Final.pdf,2-0020923,receptor,,alpha,,9,True
190,Disposal Site Private Well Lab Reports/2-0020923 - Hudson - 308 Chestnut PFAS/,L1930188 - 3 Stony 07-10-2019 Final.pdf,2-0020923,receptor,,alpha,,7,True
